identifier,name,CapitalIQ,description,birthPlace,Wikipedia,birthName,deathPlace,birthDate,deathDate
2exYi9PENg1eGl1VTZ5IuQ,Koji Izutani,678442256,,,,,,,
2ezAwbST5GmdtFhoQ6wucl,Himanshu Kapania,34284335,,,,,,,
2f4TItY5Rlpap1PFAD3vQi,Alan Richard Bell,264208756,,,,,,,
2f70GvipTTYbjxXfhUwOEd,Bharat Hari Singhania,25300760,,,,,,,
2f8AIq4QV6ec3qkqfg3cUv,David H. Lissy,555604612,,,,,,,
2fBEE30kcnDeV3xaqaTFoq,Nelson Peltz,174265,"Nelson Peltz (born June 24, 1942) is an American billionaire businessman and investor. He is a founding partner, together with Peter W. May and Edward P. Garden, of Trian Fund Management, an alternative investment management fund based in New York. He is non-executive chairman of Wendy's Company, and a director of Legg Mason, Procter & Gamble, Sysco, and The Madison Square Garden Company. He is a former director of H.J. Heinz Company, Mondelēz International, and Ingersoll Rand and a former CEO of Triangle Industries.  Early life and education Peltz was born to a Jewish family in 1942 in Brooklyn, New York, the son of Claire (née Wechsler; 1905–2007) and Maurice Herbert Peltz (1901–1977).  He was the second of their two children, and grew up in the Cypress Hills section of Brooklyn, a sub-section of the East New York neighborhood.  & gbpv=1 & bsq=Nelson+Peltz+brooklyn+wechsler & dq=Nelson+Peltz+brooklyn+wechsler & printsec=frontcover He attended Horace Mann School in the Bronx. Peltz attended the undergraduate program at the Wharton School of the University of Pennsylvania starting in 1960, where he joined the fraternity of Phi Gamma Delta, but dropped out in 1963 and never completed a degree.   Business career In 1963, Peltz dropped out of the Wharton School with the intention of becoming a ski instructor in Oregon. However, he ended up driving a delivery truck for A. Peltz & Sons, a wholesale food distribution business founded by his grandfather, Adolph, in 1896, which delivered fresh produce and Snow Crop brand frozen food  & dat=19620115 & id=5HItAAAAIBAJ & sjid=lIwFAAAAIBAJ & pg=3532,2914960 Palm Beach Daily News: "" Matisse - The Younger Coming "" by Cholly Knickerbocker January 15, 1952 | "" Frozen food heiress Gladys Peltz (Poppa owns Snow Crop)... "" to restaurants in New York. Jewish Virtual Library: "" Nelson Peltz "" by Nancy A. Ruhling  retrieved January 14, 2012","Brooklyn, New York, U.S. < ref > New York, New York, Birth Index, 1910–1965 < /ref >",en.wikipedia.org/wiki/Nelson_Peltz,,,,
2fIeYTv03VPadNeiJIkTv1,Richard Reeves Whitt,8023496,,,,,,,
2fMIUxnaglveJ426WmWFUk,Farhad Abasov,140454688,,,,,,,
2fOxyWQ4xTnfDJwTzCDcjE,Stephen E. Greer,7909251,,,,,,,
2fPxWoPAyAwafPqIAwz54D,Johan Forsberg,242491148,"Johan Forsberg (born June 29, 1985) is a Swedish former professional ice hockey winger.  He is most known for playing for Luleå HF in Swedish Hockey League (SHL). Johan became popular among Skellefteå AIK fans after leading the league in playoff goals in 2010 despite the team's elimination in the semifinals.  Career statistics  References External links *","Piteå, Sweden",en.wikipedia.org/wiki/Johan_Forsberg,,,,
2fXoH2MmQtsbDhMDGTu8vl,Joon-Ho Han,83198310,,,,,,,
2fa4up56CgZd6lzdkiKfMf,Yoon Soo Yoon,215762174,,,,,,,
2fbOaaYRh6LbiKqdcpJOhY,Kwang-Soo Kim,224082084,,,,,,,
2fkBFXwFEQHc1wI3pa9xef,Charles H. Robbins,39477037,"Charles H. Robbins (born 1965/1966) is an American businessman, and the chairman and chief executive officer (CEO) of Cisco Systems.  Early life Robbins was born in Grayson, Georgia, and educated at Rocky Mount High School in Rocky Mount, North Carolina. He earned a Bachelor of Mathematics degree, in 1987, from the University of North Carolina at Chapel Hill.  Career Robbins began his career as an application developer for North Carolina National Bank, (now part of Bank of America). After five years, he then joined Wellfleet Communications, which merged with SynOptics to become Bay Networks, followed by a brief tenure at Ascend Communications, before joining Cisco, in 1997.  At Cisco, Robbins filled various posts, including senior vice president of the Americas and senior vice president of Worldwide Field Operations, a role in which he led Cisco's Worldwide Sales and Partner Organizations, and built out Cisco's partnership program.  In May 2015, Cisco announced that the CEO and chairman John Chambers would step down as CEO in July 2015, while remaining as chairman. Robbins, then a senior vice president, was named as his successor. Mentored by Chambers;   Robbins was unanimously voted in as the company's new chief executive, becoming CEO of Cisco Systems in July 2015.","Grayson, Georgia, U.S.",en.wikipedia.org/wiki/Chuck_Robbins,,,"< ref name= "" mercurynews.com "" >  < /ref >",
2flXsRvdsDScOjsmS19uEx,Bing Zhao,135052681,,,,,,,
2g0MF8JmKcLdXn3RfJowFj,Vinod Bholanath Rai,30582882,,,,,,,
2g2CrLs7dKKc8O3uF0imPc,Lisa Jackson,,,,,,,,
2g2jGe8Ek5KcLOiBxXHJQf,Richard A. Navarre,570036131,,,,,,,
2gCP7OclEagcRvdZb7zHWh,Yuen Hong Lee,224268811,,,,,,,
2gJhCPxiWR2fWAqSLJvWbo,Jeff Bartelma,,,,,,,,
2gNkhbJZWAobGq4hzDq9vj,Takaaki Kato,79602838,,,,,,,
2gTj5McfSqpcL7Y0Tv7JOz,Nicholas J. Sutton,104546570,,,,,,,
2gWJLhgt8wvaUjAwiXcl1q,Theodosios P. Papageorgopoulos,608141781,,,,,,,
2gesraYA2w7eqJhoAxhR8L,Steven Gregg,313212487,,,,,,,
2ggELgQLWMTep7dC8f5BCX,Chin Hua Loh,252372522,,,,,,,
2gwS5eoFPngeqTKN3wCyeZ,Robert Reinhardt Emslie,324663000,,,,,,,
2gwbP8R2EAleS7gN3FXpxc,Wen-Long Yen,8272276,,,,,,,
2gySGKx6iIfcUurxy8EnXY,Jerson Kelman,608703175,,,,,,,
2h1wiC7hsJxacSeozLZEXZ,Heather Stern,,,,,,,,
2h29rOwMTjBe03QPvWp2bR,Scott D. Farmer,260732,,,,,,,
2h799h4O1LOdutatpkoljs,Peter Boneparth,51704619,,,,,,,
2hDLFTsXmAEeHIxtkpatgB,John R. Haley,138170009,,,,,,,
2hFAp51km4VbKDvbhoHTA8,Donald Hood Brydon,213620794,,,,,,,
2hGDkpuGLrVd1bnoJDp4AX,Lorin Jeffry Randall,49062851,,,,,,,
2hPLq0Sj960cvEKSx7FAhJ,Thomas B. Mangas,273525317,,,,,,,
2hWzPeVfHboeXeKLBzgKiJ,Shai Weiss,304739288,,,,,,,
2hcZn12qwbcd0wvw4gcj0v,Dong-Bin Shin,145519400,,,,,,,
2hfCaajnZlef7qoROrYIpv,Robert James McCann,286633162,"Robert J. McCann (born 15 March 1958) is an American businessperson with Irish dual citizenship. McCann is now chairman of UBS Americas, where his duties involve strategic initiatives around clients and business priorities. He was formerly President Wealth Management Americas and President Americas of UBS Group AG. "" Robert McCann becomes CEO of UBS Group Americas unit "" by Lorie Konish, December 1, 2011 www.onwallstreet.com He had led the Wealth Management Americas division since 2011 and had served as a member of the UBS Group AG executive board since 2009. He relinquished both roles when he stepped down in 2015,   with Tom Naratil assuming his previous roles.  Early life and education McCann graduated from West Virginia's Bethany College in 1980 with a Bachelor's degree in economics. He was later awarded a fellowship through the Sid W. Richardson Foundation to attend the Neeley School of Business at Texas Christian University, where he earned an M.B.A. in 1982. Subsequently, at Harvard Business School, McCann attended the six-week Advanced Management Program. In 2010, McCann was awarded an honorary doctorate from Bethany College. "" Bethany College : Honorary Degrees, "" www.bethanywv.edu  Career ===Merrill Lynch=== McCann's career at Merrill Lynch began in 1982 and spanned 26 years. From 2003 and until his departure in January 2009, McCann was Vice Chairman of Merrill Lynch and President of Global Wealth Management. During his tenure, McCann held a variety of executive leadership positions. He was the Vice-Chairman of the firm's Wealth Management Group (including Global Private Client and Merrill Lynch Investment Managers), the Head of Global Securities Research and Economics (2001 to 2003), Chief Operating Officer of Global Markets and Investment Banking (2000), and Head of Global Institutional Sales (1998 to 2000).  As Head of the Global Equity Trading & Markets Division, he was responsible for trading and risk management activities relating to Merrill's equity products, which provided issuers and investors access to world markets through the global underwriting, trading and distribution of stocks. In 1998, McCann took over the Global Institutional Client Division, where he was responsible for all debt and equity client relationships.","Pittsburgh, Pennsylvania, U.S.",en.wikipedia.org/wiki/Robert_J._McCann,Robert J. McCann,,,
2hhovRBt4aec6s0h9TCt7f,Heng Chew Tan,8373006,,,,,,,
2hl24fZF6rCbSlCa7xCIB7,Remi Barbier,245870,,,,,,,
2hp2qlSJzSfbOnQVNrJtx2,Ashok Devineni,29159107,,,,,,,
2hqZJvCxe4feaeaYYfvWgw,Alan W. Schoenbart,280812102,,,,,,,
2hvy9WVXJDmdg9FYRJtVez,Dan L. Batrack,4592457,,,,,,,
2i2PtILjqg7fmdM50RxkiD,Robert J. Coury,1577513,,,,,,,
2i5pKYazC2BbE03frAIkm7,Thomas A. Leysen,5868138,,,,,,,
2iAcBae2KxBeXDZjJIAYuL,Christopher L. Nines,217889389,,,,,,,
2iEMcWvMUeSeF6UPjoxfUr,Robin Hallam,574985750,,,,,,,
2iFUIAsD7dOfkOTQN30gGc,Erhan Kurdoglu,379653300,,,,,,,
2iJW2uQvrOecrTbAbLyTax,Guoxian Cao,137020644,,,,,,,
2iMJiwK7IzMbB21GbCxvO5,Richard M. Adams,5567364,,,,,,,
2iZnR8lTYqCae2NKU9zUen,Tae-Soo Huh,25986199,,,,,,,
2ij6ijVNvLYbmIvprV0brO,Russell Smith,381372267,,,,,,,
2ilSHufyidsbRXvD6xgWQ3,Yoo Sam Shin,677391426,,,,,,,
2ilaDrAXe2PfjmBQmXwyaL,Katsunori Kobayashi,580034941,,,,,,,
2iv6Vq26CdqefaT177Uwp1,Tai-Ming Gou,107986306,,,,,,,
2j0yMCbGVR4eksIW0tRUw5,Katsunori Maruyama,10216794,,,,,,,
2j27JL9nm4yeLEa9cPm7Ld,Bong Lin Tan,629955060,,,,,,,
2j3bHZVSdDobFB1EeWLBY3,Mohamed Mubarak Fadhel Al Mazrouei,59206534,,,,,,,
2j8BSsxtn3KbYgJfdVpPXy,Gary L. Steele,6340540,,,,,,,
2jDf5XRADHMbastThlRQcp,Hiroshi Sakakibara,,,,,,,,
2jH1zq1LuqyfB5Q5eZ13zZ,Luis Fernando Restrepo Echavarría,331779582,,,,,,,
2jLUQUgx7gLcX4qINI7JXG,Michael T. Alscher,316716237,,,,,,,
2jMdcQSrgegcTwYNKXQYWE,Robert B. Atwell,13668009,,,,,,,
2jNCsJSA2KXatYbpTdmUVx,Kwan-Ho Son,217739913,,,,,,,
2jXmeBIAJVodse5TBaDpEe,Yuk Sui Lo,8554802,,,,,,,
2jaq8834Pbib3RoSRnfISd,José Janguiê Bezerra Diniz,245471199,,,,,,,
2jgQ7L98sllfpBa37OfJXq,Robert Hudson Alpert,540757894,,,,,,,
2jl2yiVVDLecTbMvyokNGJ,Paul R. Block,665683343,,,,,,,
2jtvhLFjpNhewLDxGgOIrC,Byeng Gweon Kim,237879707,,,,,,,
2jvrXjNz19WfEL8YteH3Ky,Akira Uehara,8390295,,,,,,,
2kCCY7i1eblfY3A8Sx2XXe,Christian Reinaudo,597109500,,,,,,,
2kI67pGlupBekxSDmVTCSu,James L. L. Tullis,562308,,,,,,,
2kOzmnfFEGNcoB5J1VPqwE,Ferruccio Ferragamo,7866722,,,,,,,
2kQ95futyrcdbt8HKdhV6q,Tetsuya Senda,309814478,,,,,,,
2kQDNtGwGF7dViSOxKpNR5,Kieran T. Gallahue,290880164,,,,,,,
2kXUQ3liOyVeA2eB6nY3rE,John Philip Adrian Budreski,266728607,,,,,,,
2kaXzFwtzC9fLOvDgQObwc,How Teck Lim,129073227,,,,,,,
2kcHLTK0ERndiPuIXKRGXk,Edmund Moriz Forster,333261911,,,,,,,
2keeyavZFLVbFNGKkQeM1P,John Anthony Copelyn,279650555,,,,,,,
2keuH0CyndlerHbKpxwode,Mitsuteru Kurosawa,215267226,,,,,,,
2kgQPjfxHBfedAgSAvO3DV,Yasuyuki Yoshinaga,24403584,,,,,,,
2klRon4I5XYe0wRZqw7Bvb,Andrew S. Marsh,229536878,,,,,,,
2knLiZ3PnfHbiuL57y6rrd,Marc A. Levine,548852135,,,,,,,
2kqaxnTfTieebUV9FvzFuI,Carlos Slim Domit,8550612,,,,,,,
2krHd9u8Bl4czktXqeVxEm,Jamieson Bondarenko,602256254,,,,,,,
2kvcZhbSMxufOIL0nE2TYZ,Torsten Leue,562044696,,,,,,,
2kyMDphXiA3feIAKOw6ZOF,Shinji Kasahara,50912552,,,,,,,
2l3imo445dRdAKkMl95X4S,Joseph Nicola Grosso,10254685,,,,,,,
2lAiube0geOcZDbPFGvchp,Chichung Chan,7769034,,,,,,,
2lG1kgBB96seJxVh2IXLrN,Michele Finney,,,,,,,,
2lJKZmUY33CdX5rSNGjd9E,Byung Chul Choi,665414612,,,,,,,
2lKkHJnxnDee63pqiXfKaG,Christopher Ross Anderson,244427481,,,,,,,
2lNck2uEws5ftr73H4GqcO,Donald Kinloch Charter,5863443,,,,,,,
2lOwVj9BR76erbQrX7XR7r,Nan-Horng Yeh,11643454,,,,,,,
2lT9hQndYcMc0q3Lu1wWWQ,Lawrence F. Probst,175327,"Lawrence Francis Probst III (born June 3, 1950) is an American businessman who is best known for his work with the video game publisher Electronic Arts, including acting as CEO from 1991 until 2007 and as executive chairman from 2013–14.   He remains chairman of EA and served as chairman of the United States Olympic Committee until 2019. Life Probst was born on July 6, 1950. He is the son of Ruth (née Gallagher) and Lawrence Francis Probst II.  He and his wife Nancy have two sons. He earned a bachelor's degree from the University of Delaware.  Entertainment career Probst worked for Johnson & Johnson and Clorox before being recruited into the video game industry through Activision in 1982. Two years later he joined EA as vice president for sales until 1986. He then took on the role of the company's senior vice president of the publishing division from 1986–90. He was promoted to president of Electronic Arts in 1990, remaining in that position until 1997. During this time, he was also pronounced CEO of Electronic Arts in 1991, which he held onto until April 2007. Next Generation named his one of the "" 75 Most Important People in the Games Industry of 1995 "" , remarking that "" Probst may not be as colorful a character as his predecessor [ Trip Hawkins, but he does seem adept at combining the freedom and daring of creativity with the restraints and common sense of a commercial operation. ""  When president and chief operating officer John Riccitiello resigned in April 2004, Probst became his successor. Riccitiello was re-hired as CEO in 2007, he retained his non-operational duties as chairman. He then worked as executive chairman of Electronic Arts Inc. from March 18, 2013, to January 1, 2015, and former chief executive officer of the company.",,en.wikipedia.org/wiki/Larry_Probst,Lawrence Francis Probst III,,,
2lVLVKjZ7hHbv6hn0A8dsZ,Michel Delbaere,289233898,,,,,,,
2la8yYw1oNleVE8Wig9pN6,Hiroo Mirchandani,288269395,,,,,,,
2lbbsTK5mWecLVDoVmtZ50,Grandhi Mallikarjuna Rao,24425706,,,,,,,
2leSiEM7n4lb3ei4Y7jQQ9,Soon-Myung Hong,54106231,,,,,,,
2lgzUQSWsZrf4BvW4B4QqQ,Paul M. L. Achleitner,143093964,,,,,,,
2lhL2zAEQabajJwO8wikO9,Peter Grenville Schoch,8239051,,,,,,,
2lk2YZxHGd8eH4rJotMFMN,Desmond Giulio Amedeo Sacco,8473335,,,,,,,
2lmGJbqE1Lpb5qaKJjjxxr,Philip Grosse,303192879,,,,,,,
2lzog0quBRwdkfVvjsNNkD,Peter Marriott,,,,,,,,
2m0grhGeWKEeVSmH5jDaci,Johan Molin,298210153,,,,,,,
2m3CowJhoFZeAhrFKuRtQR,Nilesh Lakhani,608640331,,,,,,,
2m8eKivYJIEfbALl00aqsy,Shigeru Murasugi,558948133,,,,,,,
2m8mNbXbqlObVGhqio8Z3w,Hung-Pen Chang,214224738,,,,,,,
2mCtiLbjc2AfuuZGH11wIf,Kotaro Fukuda,8395853,,,,,,,
2mK5zWMDSqFcRQJJzSGclN,Arthur Mark Dearsley,550439636,,,,,,,
2mMZSgdiX1WdP5pGIvzgB6,Meg C. Whitman,,,,,,,,
2mNLu6dUpK4db5ndkBOaal,Andy Adams,,,,,,,,
2mV3eQ96AVGaZrvaOrpQ5j,Julio Alfredo Klein Junior,252195198,,,,,,,
2mXHUxa046KbvfL3Fjv0i5,Adil Siraj Zainulbhai,267830677,,,,,,,
2mbjFmQzXFMbkOBvaB7XL5,Richard Alan Baker,35957452,,,,,,,
2mjxYF3QGOReHZ9CnDsH0E,Seng Huang Lee,53089265,,,,,,,
2mooGsQnpk3bxPoYrx2Tdx,Takashi Inoue,33430088,,,,,,,
2mormPg9X3Ybc6D2v1R9UM,Valentios Valentis,321613793,,,,,,,
2mufRjFj76schno9dtA3l3,Arun Kumar Duggal,276543362,,,,,,,
2mukIs0B9XNewmZeYmbb9o,Garry O. Ridge,312457,,,,,,,
2mxwLkQvohIe92mhTjo6iR,Francesco Venosta,8711633,,,,,,,
2mzRALGS8bicMPc9EJHKu1,Soo Sen Chan,34870293,,,,,,,
2n3NqV35HuzeY0HLsyaYIG,Ciaran Murray,24208999,,,,,,,
2nCJfvcU6dedeJ59BYeNC9,James A. Sharman,324369898,,,,,,,
2nHHTnv8C36cuFxHNEUtIZ,Mauricio Gutierrez,42075983,,,,,,,
2nM7sWzUJ79dgLDBFEV8sE,Woong Yeul Lee,81832814,,,,,,,
2nSh3sRHf9Vfj3FOk04gyL,David E. Zalman,393989,,,,,,,
2nWz2qDEYNJbeRLewR1bp4,Simon John Waugh,408168584,,,,,,,
2nhTf8YBjtwcnWhQsocbbK,Peter Riguardi,2985673,,,,,,,
2nnxlCQZmXhe9AalTlxUN2,Alexander S. Moczarski,32530643,,,,,,,
2nqfQXVpRJEfpMk3bq4ZVB,Zsolt Hernadi,8461219,,,,,,,
2nvylKRht7ub2cDiQrmtcI,Kwong Yuk Li,142300002,,,,,,,
2nyexafMBgfdnCdZStbM7e,James Bell,,,,,,,,
2o1FgxRirpffTmjv6bWpYV,Simon John Roberts,528942441,"Simon John Roberts (born 26 January 1971) is a British businessman, and the chief executive officer (CEO) of Sainsbury's since 1 June 2020, having previously been  retail operations director. He is a former managing director of Boots UK. Early life He was born in Croydon, and brought up in South London, attending Purley Sixth Form College. Career He started his career working for Marks & Spencer (M & S) aged 16. He was at M & S for fifteen years, becoming a senior manager in 1998. Boots UK He joined Boots UK in 2003 as regional director of the south region. He was the joint chief operating officer from 2011, with Ken Murphy. He became managing director of Boots UK (health and beauty) on 1 October 2013, with Ken Murphy (from Cork) becoming managing director of Boots International. Roberts left Boots in June 2016 "" to pursue new opportunities "" .","Croydon, London, England",en.wikipedia.org/wiki/Simon_Roberts_(businessman),Simon John Roberts,,,
2o5WuP7fd6KdKJje7eyX5i,Pichai Chunhavajira,11369921,,,,,,,
2oDs1xvKk8Vc2r5maq3Fsb,Vilhelm Robert Wessman,307862726,,,,,,,
2oFAasyGWJtdyDMhMs2PkP,Carl Mount,,,,,,,,
2oFJKZyakqAevOiZlJyrGu,Thanong Bidaya,53069785,,,,,,,
2oNw7bDodcmazpfIcKghhf,Jean Stuart Blackwell,256869592,,,,,,,
2oOEOIQUCNOfdaURfemwQk,Christopher Noel Dunn,537142467,,,,,,,
2oQvzkXKmQndjo5OViNm65,Hong Sui Lo,25328968,,,,,,,
2oWdWmrFEMbfc6nEZBNXyn,Marshall A. Heinberg,422570340,,,,,,,
2oWf7T1ANSVfVBmiBrmLGv,Atsushi Murai,8373033,,,,,,,
2oda3LQE2cpeGw4c5mZXmJ,Henricus Lambertus Josephus Noy,208294274,,,,,,,
2ohr8adO0Oobxy1hABLpGj,Güler Sabanci,11870118,,,,,,,
2oiGhUNaXVJfWGa3p39pWa,Vicki R. Palmer,567838,,,,,,,
2oxhp639a1Dbjb1H4J2W2h,Anil Kumar Mittal,29458877,,,,,,,
2oy76zOu5uicYIERXg85Bi,Markus Kellenberger,310941978,,,,,,,
2oyaAdXwjPAdp2ua1A8sa0,Nicolas Petrovic,,,,,,,,
2oz3vr6g97jcQBrxlx9lPw,Hye-Sook Seo,141645724,,,,,,,
2p76eAZERU7fBAiqbl81uq,Ik King Tiong,35787043,,,,,,,
2p9SgozWzpmeCI1VL32vII,Koji Takahashi,11614168,,,,,,,
2pJGc58CJikf8LZ2hRju2w,Chaoyang Zhang,54493488,,,,,,,
2pRKApBTeS1bfYUD7PjT0e,Pamela H. Patsley,10867777,,,,,,,
2pRxgewe2yWbp5tZuDXR0O,David Bremner,8022502,,,,,,,
2pYHnSxWdNBc89wWqq7Tsd,Julie Hawkins,591349794,,,,,,,
2pdlWkUBAGBfLYNI1VujhM,Adam David Portnoy,315573724,,,,,,,
2pjfEuD6cDkeW2Qy3F73mt,Zoltán Fekete,673521448,,,,,,,
2pmoJ930NdhfM2gXyvKzUy,Loren S. Easton,343968406,,,,,,,
2pqdaKGn2jZbbbgielPbb3,Mark A. Goldsmith,62001149,,,,,,,
2psJ6zO5veIcCpvOvamFJt,Lene Skole-Sorensen,286168126,,,,,,,
2psRQtDZJ3Ycvd0eVDkhCb,Terence James Bowen,539350995,,,,,,,
2pwXEtMSgTHbK48sEW8JJr,Lawrence V. Bruno,303566710,,,,,,,
2q2966ecOi0f8WhSG1nb2a,Jennifer G. Tejada,377238208,,,,,,,
2q41APOb5V7bm40E4TZa2B,Raelene Margaret Murphy,302466250,,,,,,,
2q4ucoQNAASbTWAGe68EkC,Hirokazu Ogino,138273423,,,,,,,
2q648dbey7fe88ODzScwbI,Laurence Douglas Fink,403416,,,,,,,
2q8ialRkydwdKK0jn6sUIK,William A. Zartler,282536190,,,,,,,
2q8yxjZCoFbbYKXcMMwy3Y,Michael G. Browning,29099336,,,,,,,
2qGdLqPcA8veojRmXNFefG,Yadong Zhang,575270639,,,,,,,
2qHNQWzwO7BfP5cSEYwCc4,Arleen Paulino,,,,,,,,
2qIOSQ2Tnj6detueXoao1d,Gabriel Escarrer Juliá,8154875,,,,,,,
2qTrbmA94BZcH5ih33FA7M,Michael B. Nash,225438835,,,,,,,
2qWN3jSDKVKb3vTHH3F9LW,M. Sean Fernandez,261313015,,,,,,,
2qk0uIVudqxfIvIWNBkRfy,Geoffrey Clive Newall,8287417,,,,,,,
2qlHBbHzfhtdjt9XWZswQL,Ronald J. Seiffert,543477905,,,,,,,
2qo8pBIADhbczA2xwLm8MG,Izabela Felczak-Poturnicka,224450311,,,,,,,
2qtbkhXFguQdW1DXxU7IHi,William S. Aichele,311091,,,,,,,
2qu73Vk8EtTbODdT7kn4BZ,William E. Aubrey,260675856,,,,,,,
2qwQp50PMQec2dmEl4MveW,Ignacio Cueto Plaza,371092,,,,,,,
2r6RaWDT4tCbRzbG4dssXz,Jostein Sorvoll,45757599,,,,,,,
2r8NCT6fwRudSugm6PjAxw,Yuji Takahashi,116380206,,,,,,,
2r8y30xjg6RbPyRQWHxaLX,Hideki Wakabayashi,262608107,,,,,,,
2rDqPmijvCjfEi7vB5z2um,Ksenia Valentinovna Yudaeva,549190791,,,,,,,
2rGs0E1Xd4Aag7A0FHJiau,Vance W. Tang,83421631,,,,,,,
2rLI9cVCq91c69KQGwEovu,Leslie Adolphe Brun,273761156,,,,,,,
2rNpVmTn6DBdluYKxysGUQ,Prashant Kumar,658883047,Justice Prashant Kumar (born 1 July 1958 –30 August 2019) was an Indian Judge. He was the former Acting Chief Justice of Jharkhand High Court.  He was also former Judge of Jharkhand High Court and Allahabad High Court. References,"Chapra, Bihar",en.wikipedia.org/wiki/Prashant_Kumar,,"Ranchi, Jharkhand",1 July 1958,
2rUFckZiED4dB922RkQy8Z,Peter Wirth,418546128,,,,,,,
2rWC0VjIquLfgr9Z2ze0KE,Eiji Masuda,317794214,,,,,,,
2rdX0XeXi02fHeULVRBNeF,Richard S. Ziman,240802238,,,,,,,
2rfy7ww2wlhayUuekXjui6,Kazumasa Kobayashi,8713926,,,,,,,
2rlMGaOWbYVfNiv860DCvU,Stephen Ray Williams,276328815,,,,,,,
2rnGM4r19YPdlsogXAmUVV,Tzar Kuoi Li,12106900,,,,,,,
2rqbmtERHucbGeZZDbCth9,Drew Skaff,,,,,,,,
2rrWVMCkOu0eYmOcj8i8qO,Bruno Francois Jules Angelici,252308127,,,,,,,
2rsgumn0BRyd70t8LuxHbF,Jeffrey E. Eberwein,204763375,,,,,,,
2rt738bZ7uKeAz6C0kJ3cp,Shinya Higuchi,370913584,,,,,,,
2s0fQLcPUuLfmIWP1fqCNh,Michael C. Appel,570867635,,,,,,,
2s13Wdb7oi8d5OfCB0IRcP,Darren M. Shapland,288939554,,,,,,,
2s1GEP7Fpp8dvhDRh1DGUi,John B. Hess,272954605,,,,,,,
2s4TRkPCAJxfiimSbrBcTM,Merlin Bingham Swire,108503397,,,,,,,
2s6Z021ho4bfmJ0uaFGFQa,Eivor Andersson,216958235,,,,,,,
2sAQiPZ7KkbcEeu3kym4ni,Zhengdong Zhu,46607671,,,,,,,
2sBk4q7iy81fdY4eBRwWaB,William Bradford Haines,240509712,,,,,,,
2sM11Lk3Tlwb5UzSBfFQUV,Hendrik Otto,129005552,,,,,,,
2sRDzciICxqb5oBQaor495,Yoshitaka Fukuda,8711146,,,,,,,
2sRtvgVnlCXf8RdIskoHKK,Qiangdong Liu,113360824,,,,,,,
2sStdTNcJhFcPtP745CrHu,William Schneider,183198912,,,,,,,
2sTKb4tP3t8cgiGzFGvvsK,Vicki Henn,,,,,,,,
2sTbrPOKWfIbEmQf7a9dxU,Evan Spiegel,224279255,"Evan Thomas Spiegel (born June 4, 1990) is an American businessman who is the co-founder and CEO of the American social media company Snap Inc., which he created (as Snapchat Inc.) with Bobby Murphy and Reggie Brown while they were students at Stanford University. Spiegel was the youngest billionaire in the world in 2015.  Early life and education Spiegel was born in Los Angeles, California to lawyers John W. Spiegel and Melissa Ann Thomas. He grew up in Pacific Palisades, California, where he was raised Episcopalian. He was educated at the Crossroads School for Arts and Sciences in Santa Monica, and attended Stanford University.  Spiegel took design classes at the Otis College of Art and Design while still in high school and at the Art Center College of Design in Pasadena the summer before entering Stanford. He also had an unpaid internship in sales at Red Bull. While a student, he worked as a paid intern for a biomedical company, as a careers instructor in Cape Town, South Africa, and at Intuit on the TxtWeb project. Spiegel is a member of the Kappa Sigma fraternity.  Career In April 2011, while studying product design at Stanford, Spiegel proposed an app with ephemeral messaging as a product design class project, an idea which his classmates ridiculed. Later that year, Spiegel worked with fellow Stanford classmates Bobby Murphy and Reggie Brown to launch a prototype of this concept called "" Picaboo "" , which they later renamed as Snapchat.   The app's popularity grew significantly and in 2012, Evan left Stanford to focus on Snapchat shortly before completing his degree.  By the end of 2012, Spiegel's Snapchat app had reached 1 million daily active users.","Los Angeles, California, U.S.",en.wikipedia.org/wiki/Evan_Spiegel,Evan Thomas Spiegel,,,
2sVBDbS1ZHEeSEyGmjNpcl,Giles Bowman,,,,,,,,
2sYMJaPxFq5byUydQO7NPb,Chutinant Bhirombhakdi,274781018,,,,,,,
2sadgNxGtYtekRzVSB2mj6,Francesco Milleri,327312298,"Francesco Milleri (born in 1959) is an Italian businessman. He is the chief executive officer (CEO) of Luxottica. Early life Francesco Milleri was born in 1959.  He graduated from the University of Florence with a bachelor of laws, and earned a master in business administration from Bocconi University. He was also awarded a two-year Donato Menichella scholarship from the Bank of Italy at the New York University Stern School of Business.  Career Milleri was an assistant professor of political economy at his alma mater, the University of Florence.  Milleri worked as a business consultant. In 1996 he founded Abstract, a strategic digital consultancy company. He later became the deputy chairman of Luxottica, and succeeded Massimo Vian as its CEO in December 2017. He is also the chairman of Salmoiraghi & Viganò, its eyewear subsidiary.  References",Città di Castello,en.wikipedia.org/wiki/Francesco_Milleri,,,"1959 < ref name= "" MF "" >  < /ref >",
2saqGEIanWIfCQyGPQvmja,Charles I. Story,555814,,,,,,,
2scihR8KuAJbLkdnaBXg1E,Young Cheol Choi,240979510,,,,,,,
2se056G5lqMdd2Yxom8bYH,Jason Salzetti,,,,,,,,
2sfiKIZDxcMeC3L2YlOXpz,Sheng Chen,129472286,,,,,,,
2skL60xg9OubigqP5Psy1u,Christopher A. Cartwright,259654450,,,,,,,
2snDTWHRZu3efSaqLeFUnW,George Scorsis,649075585,,,,,,,
2sqLmH1IgnjavAcwzrBRdN,Tamar Mozes Borovitz,52852495,,,,,,,
