vulnerability,caption_name,topic_ids,threshold,key_1,value_1,key_2,value_2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
CVE-2020-5902,CVE-2020-5902 in F5 BIG-IP configuration,,alert2.local,vulns,CVE-2020-5902,,,CompanyKeyword,CVE-2020-5902 in F5 BIG-IP configuration,,shodan_vulnerabilities,7fc6789f58fc42fe519c705959b9dfe9,shodan_vulnerabilities__7fc6789f58fc42fe519c705959b9dfe9
CVE-2020-8193,CVE-2020-8193 in Citrix ADC configuration,,alert2.local,vulns,CVE-2020-8193,,,Wells,CVE-2020-8193 in Citrix ADC configuration,,shodan_vulnerabilities,19a9346ceb73345219369092c82b0a8d,shodan_vulnerabilities__19a9346ceb73345219369092c82b0a8d
CVE-2020-8195,CVE-2020-8195 in Citrix ADC configuration,,alert2.local,vulns,CVE-2020-8195,,,Keyphrase,CVE-2020-8195 in Citrix ADC configuration,,shodan_vulnerabilities,6ff32ffb3edc30a40ca3cd6f44649856,shodan_vulnerabilities__6ff32ffb3edc30a40ca3cd6f44649856
CVE-2020-8196,CVE-2020-8196 in Citrix ADC configuration,,alert2.local,vulns,CVE-2020-8196,,,Exec,CVE-2020-8196 in Citrix ADC configuration,,shodan_vulnerabilities,1142e17fd0af883ff630cc16b9bd629e,shodan_vulnerabilities__1142e17fd0af883ff630cc16b9bd629e
CVE-2020-8515,CVE-2020-8515 in DrayTek Vigor configuration,,alert2.local,vulns,CVE-2020-8515,,,LegislativeCommittee,CVE-2020-8515 in DrayTek Vigor configuration,,shodan_vulnerabilities,073ced1992165ebaf221982dd26a13b8,shodan_vulnerabilities__073ced1992165ebaf221982dd26a13b8
CVE-2021-26855,CVE-2021-26855 ProxyLogon in Microsoft Exchange Server configuration,,alert2.local,vulns,CVE-2021-26855,,,Exec,CVE-2021-26855 ProxyLogon in Microsoft Exchange Server configuration,,shodan_vulnerabilities,c3a8a6af58d61492619c07cf3da49551,shodan_vulnerabilities__c3a8a6af58d61492619c07cf3da49551
CVE-2021-26857,CVE-2021-26857 in Microsoft Exchange Server configuration,,alert2.local,vulns,CVE-2021-26857,,,CompanyKeyword,CVE-2021-26857 in Microsoft Exchange Server configuration,,shodan_vulnerabilities,afb5e8dfa1a59608cfb91874fa6b8b9f,shodan_vulnerabilities__afb5e8dfa1a59608cfb91874fa6b8b9f
CVE-2021-26858,CVE-2021-26858 in Microsoft Exchange Server configuration,,alert2.local,vulns,CVE-2021-26858,,,Diplomat,CVE-2021-26858 in Microsoft Exchange Server configuration,,shodan_vulnerabilities,8a38a373ee5d0d8f0bcae3ab62e13a15,shodan_vulnerabilities__8a38a373ee5d0d8f0bcae3ab62e13a15
CVE-2021-27065,CVE-2021-27065 ProxyLogon in Microsoft Exchange Server configuration,,alert2.local,vulns,CVE-2021-27065,,,LegislativeCommittee,CVE-2021-27065 ProxyLogon in Microsoft Exchange Server configuration,,shodan_vulnerabilities,95fb5d41a4caf9411524f7a96f90f3f5,shodan_vulnerabilities__95fb5d41a4caf9411524f7a96f90f3f5
CVE-2021-31206,CVE-2021-31206 in Microsoft Exchange Server configuration,,alert2.local,vulns,CVE-2021-31206,,,ForeignMinistry,CVE-2021-31206 in Microsoft Exchange Server configuration,,shodan_vulnerabilities,5ccd944c1d76b69a3470030e8a53341b,shodan_vulnerabilities__5ccd944c1d76b69a3470030e8a53341b
CVE-2021-31207,CVE-2021-31207 ProxyShell in Microsoft Exchange Server configuration,,alert2.local,vulns,CVE-2021-31207,,,Legislator,CVE-2021-31207 ProxyShell in Microsoft Exchange Server configuration,,shodan_vulnerabilities,0cc9d3d8276f4a8c69811a5808fae88f,shodan_vulnerabilities__0cc9d3d8276f4a8c69811a5808fae88f
CVE-2021-34473,CVE-2021-34473 ProxyShell in Microsoft Exchange Server configuration,,alert2.local,vulns,CVE-2021-34473,,,ForeignMinister,CVE-2021-34473 ProxyShell in Microsoft Exchange Server configuration,,shodan_vulnerabilities,cceb5f5c17af145d5ce0cfd5888d5e7d,shodan_vulnerabilities__cceb5f5c17af145d5ce0cfd5888d5e7d
CVE-2021-34523,CVE-2021-34523 ProxyShell in Microsoft Exchange Server configuration,,alert2.local,vulns,CVE-2021-34523,,,Consulates,CVE-2021-34523 ProxyShell in Microsoft Exchange Server configuration,,shodan_vulnerabilities,6eaae5fce46e2b07e1b77202759908ee,shodan_vulnerabilities__6eaae5fce46e2b07e1b77202759908ee
MS15-034,MS15-034 in  HTTP.sys configuration,,alert2.local,vulns,MS15-034,,,Media,MS15-034 in  HTTP.sys configuration,,shodan_vulnerabilities,735e8faf19b23139c61c9ddefa36d35c,shodan_vulnerabilities__735e8faf19b23139c61c9ddefa36d35c
MS17-010,MS17-010 EternalBlue in Windows SMB configuration,,alert2.local,vulns,MS17-010,,,Media,MS17-010 EternalBlue in Windows SMB configuration,,shodan_vulnerabilities,3ec85ebc233fbad413e9d766bde73da7,shodan_vulnerabilities__3ec85ebc233fbad413e9d766bde73da7
CVEs,has CVEs,Email and Web Servers,general.alert5,hasVuln,TRUE,,,Refinery,has CVEs,,shodan_vulnerabilities,4ed048247fddceefd9bf9b31f496cbe1,shodan_vulnerabilities__4ed048247fddceefd9bf9b31f496cbe1
cPanel Login,exposed cPanel web hosting control panel login,Email and Web Servers,general.alert5,http.favicon.hash,-696182543,,,News,exposed cPanel web hosting control panel login,,shodan_vulnerabilities,8f91c0f213a6b1c647fb840cc3cb2cfe,shodan_vulnerabilities__8f91c0f213a6b1c647fb840cc3cb2cfe
open directory,open directory,Email and Web Servers,general.alert5,http.title,Index of /,,,Person,open directory,,shodan_vulnerabilities,d6124ea8a506416a7c71d1330dc2058b,shodan_vulnerabilities__d6124ea8a506416a7c71d1330dc2058b
Kaseya VSA server,exposed Kaseya VSA server,Remote Access and Management Systems,general.alert5,http.favicon.hash,-1445519482,,,Organization,exposed Kaseya VSA server,,shodan_vulnerabilities,a7a3521b49cdb6ef35e7ddebf343223a,shodan_vulnerabilities__a7a3521b49cdb6ef35e7ddebf343223a
expired certificate,expired certificate,Encryption and Certificates,general.alert5,ssl.cert.expired,TRUE,,,ForeignMinistry,expired certificate,,shodan_vulnerabilities,58d35e4937ce7ef78baa74a49f904bdd,shodan_vulnerabilities__58d35e4937ce7ef78baa74a49f904bdd
Port 21,open FTP port 21,,general.alert5,port,21,,,Consulates,open FTP port 21,,shodan_vulnerabilities,14249418bacb90489829ab4c7ba1bf5d,shodan_vulnerabilities__14249418bacb90489829ab4c7ba1bf5d
Port 22,open SSH port 22,,general.alert5,port,22,,,space,open SSH port 22,,shodan_vulnerabilities,1ca63271835583c56a6d47a2b6b1f9b2,shodan_vulnerabilities__1ca63271835583c56a6d47a2b6b1f9b2
Port 23,open Telnet port 23,,general.alert5,port,23,,,ForeignMinister,open Telnet port 23,,shodan_vulnerabilities,7d9f11bd2bbb3ba7345f975c5ef0b908,shodan_vulnerabilities__7d9f11bd2bbb3ba7345f975c5ef0b908
Port 31,open Agent 31 Trojan port 31,,general.alert5,port,31,,,Consulates,open Agent 31 Trojan port 31,,shodan_vulnerabilities,a5a557ab5cb486c0e2c431d08cf5dbbc,shodan_vulnerabilities__a5a557ab5cb486c0e2c431d08cf5dbbc
Port 67,open Bootstrap Protocol port 67,,general.alert5,port,67,,,Exec,open Bootstrap Protocol port 67,,shodan_vulnerabilities,6d02acc72ab8123a289d22a447e42f06,shodan_vulnerabilities__6d02acc72ab8123a289d22a447e42f06
Port 69,open Trivial File Transfer Protocol port 69,,general.alert5,port,69,,,Refinery,open Trivial File Transfer Protocol port 69,,shodan_vulnerabilities,0d7df4c68785d688014efec26fdc1393,shodan_vulnerabilities__0d7df4c68785d688014efec26fdc1393
Port 82,open XtremeRAT port 82,,general.alert5,port,82,,,Legislator,open XtremeRAT port 82,,shodan_vulnerabilities,031d340d03298cffff5a9eb7acb6acd5,shodan_vulnerabilities__031d340d03298cffff5a9eb7acb6acd5
Port 135,open MS RPC port 135,,general.alert5,port,135,,,AAEntity,open MS RPC port 135,,shodan_vulnerabilities,3d03d83addcdb882931cda1495229819,shodan_vulnerabilities__3d03d83addcdb882931cda1495229819
Port 137,open NetBIOS port 137,,general.alert5,port,137,,,ForeignMinister,open NetBIOS port 137,,shodan_vulnerabilities,5e4acc63acc2e257578b4a896eb27303,shodan_vulnerabilities__5e4acc63acc2e257578b4a896eb27303
Port 138,open NetBIOS port 138,,general.alert5,port,138,,,space,open NetBIOS port 138,,shodan_vulnerabilities,edf934d1a3885368131c46eeb52e6afe,shodan_vulnerabilities__edf934d1a3885368131c46eeb52e6afe
Port 139,open NetBIOS port 139,,general.alert5,port,139,,,Keyphrase,open NetBIOS port 139,,shodan_vulnerabilities,ee550718573ad20641d7eb191753531f,shodan_vulnerabilities__ee550718573ad20641d7eb191753531f
Port 161,open Simple Network Management Protocol port 161,,general.alert5,port,161,,,ForeignMinister,open Simple Network Management Protocol port 161,,shodan_vulnerabilities,fd2150237f876870976913d2871c15b3,shodan_vulnerabilities__fd2150237f876870976913d2871c15b3
Port 162,open Simple Network Management Protocol port 162,,general.alert5,port,162,,,Person,open Simple Network Management Protocol port 162,,shodan_vulnerabilities,cf426f6f4cd7500aeea163c44f394b1c,shodan_vulnerabilities__cf426f6f4cd7500aeea163c44f394b1c
Port 389,open LDAP port 389,,general.alert5,port,389,,,CompanyKeyword,open LDAP port 389,,shodan_vulnerabilities,9fc86df6dd05a443849ffedde5c00da7,shodan_vulnerabilities__9fc86df6dd05a443849ffedde5c00da7
Port 445,open SMB port 445,,general.alert5,port,445,,,Shipping,open SMB port 445,,shodan_vulnerabilities,e38de30240b12996222678d14e2d6efb,shodan_vulnerabilities__e38de30240b12996222678d14e2d6efb
Port 514,open Syslog port 514,,general.alert5,port,514,,,IndustryTerm,open Syslog port 514,,shodan_vulnerabilities,b01a98be0e34aa80713a0bc655f0c107,shodan_vulnerabilities__b01a98be0e34aa80713a0bc655f0c107
Port 520,open RIP port 520,,general.alert5,port,520,,,Consulates,open RIP port 520,,shodan_vulnerabilities,67224bd8ea2ac5d61687e76c65ee3e79,shodan_vulnerabilities__67224bd8ea2ac5d61687e76c65ee3e79
Port 853,open DNS over TLS port 853,,general.alert5,port,853,,,Wells,open DNS over TLS port 853,,shodan_vulnerabilities,439558684f8975f3a14c2c6d3ceb03d9,shodan_vulnerabilities__439558684f8975f3a14c2c6d3ceb03d9
Port 901,open Samba Web Administration Tool port 901,,general.alert5,port,901,,,Keyphrase,open Samba Web Administration Tool port 901,,shodan_vulnerabilities,945d62504b552bb1c32db49a66f1933c,shodan_vulnerabilities__945d62504b552bb1c32db49a66f1933c
Port 1080,open SOCKS port 1080,,general.alert5,port,1080,,,Person,open SOCKS port 1080,,shodan_vulnerabilities,7d67f8e24a2cfd03295f6912068df11a,shodan_vulnerabilities__7d67f8e24a2cfd03295f6912068df11a
Port 1170,open Psyber Stream port 1170,,general.alert5,port,1170,,,AAEntity,open Psyber Stream port 1170,,shodan_vulnerabilities,383aed4f19019b521315c0abe258aeb4,shodan_vulnerabilities__383aed4f19019b521315c0abe258aeb4
Port 1177,open njRAT port 1177,,general.alert5,port,1177,,,IndustryTerm,open njRAT port 1177,,shodan_vulnerabilities,af9a28b4b3c392d397d9a15672e541b7,shodan_vulnerabilities__af9a28b4b3c392d397d9a15672e541b7
Port 1234,open Ultors Trojan port 1234,,general.alert5,port,1234,,,Pipeline,open Ultors Trojan port 1234,,shodan_vulnerabilities,9a679eadbb4633b52074fed49fae70b5,shodan_vulnerabilities__9a679eadbb4633b52074fed49fae70b5
Port 1243,open SubSeven server port 1243,,general.alert5,port,1243,,,FTO,open SubSeven server port 1243,,shodan_vulnerabilities,f41c0e1927b002fc5b4a271e697ffa62,shodan_vulnerabilities__f41c0e1927b002fc5b4a271e697ffa62
Port 1433,open SQL port 1433,,general.alert5,port,1433,,,Legislator,open SQL port 1433,,shodan_vulnerabilities,061adec5e01c725e794c44deb0fe6cb5,shodan_vulnerabilities__061adec5e01c725e794c44deb0fe6cb5
Port 1433,open SQL port 1433,,general.alert5,port,1433,,,ForeignMinister,open SQL port 1433,,shodan_vulnerabilities,061adec5e01c725e794c44deb0fe6cb5,shodan_vulnerabilities__061adec5e01c725e794c44deb0fe6cb5
Port 1604,open DarkComet RAT port 1604,,general.alert5,port,1604,,,CompanyKeyword,open DarkComet RAT port 1604,,shodan_vulnerabilities,aae2467a7f6cd05d3371d5ae2e053288,shodan_vulnerabilities__aae2467a7f6cd05d3371d5ae2e053288
Port 1883,open MQTT port 1883,,general.alert5,port,1883,,,Consulates,open MQTT port 1883,,shodan_vulnerabilities,a0e7e183a93b648766754184d2b8c03c,shodan_vulnerabilities__a0e7e183a93b648766754184d2b8c03c
Port 1900,open SSDP port 1900,,general.alert5,port,1900,,,CompanyKeyword,open SSDP port 1900,,shodan_vulnerabilities,2e45a4702c4aebbda63c407a7c14ae5b,shodan_vulnerabilities__2e45a4702c4aebbda63c407a7c14ae5b
Port 1981,open ShockRave port 1981,,general.alert5,port,1981,,,Pipeline,open ShockRave port 1981,,shodan_vulnerabilities,fea0767f3b6768bb5644d2d44d286782,shodan_vulnerabilities__fea0767f3b6768bb5644d2d44d286782
Port 2001,open Trojan Cow port 2001,,general.alert5,port,2001,,,IndustryTerm,open Trojan Cow port 2001,,shodan_vulnerabilities,9b60b18ba4ceab97878895d73cb25047,shodan_vulnerabilities__9b60b18ba4ceab97878895d73cb25047
Port 2023,open Ripper Pro port 2023,,general.alert5,port,2023,,,FTO,open Ripper Pro port 2023,,shodan_vulnerabilities,96480fdd0bf9ec8a9d6e091fa8dec3db,shodan_vulnerabilities__96480fdd0bf9ec8a9d6e091fa8dec3db
Port 2140,"open ""Deep Throat, Invasor"" port 2140",,general.alert5,port,2140,,,Keyphrase,"open ""Deep Throat, Invasor"" port 2140",,shodan_vulnerabilities,af760fd952def4ee1f34277395b061d6,shodan_vulnerabilities__af760fd952def4ee1f34277395b061d6
Port 2222,open SSH port 2222,,general.alert5,port,2222,,,Exec,open SSH port 2222,,shodan_vulnerabilities,cb2712814b73c1a903fdf54d2ffdb02c,shodan_vulnerabilities__cb2712814b73c1a903fdf54d2ffdb02c
Port 2989,open Rat backdoor port 2989,,general.alert5,port,2989,,,Shipping,open Rat backdoor port 2989,,shodan_vulnerabilities,268cc92a50aafe1a66dc98515cf43ee6,shodan_vulnerabilities__268cc92a50aafe1a66dc98515cf43ee6
Port 3024,open WinCrash port 3024,,general.alert5,port,3024,,,AAEntity,open WinCrash port 3024,,shodan_vulnerabilities,cbd1d5d5d7d64f9415682c6a9e136b9a,shodan_vulnerabilities__cbd1d5d5d7d64f9415682c6a9e136b9a
Port 3050,open Firebird port 3050,,general.alert5,port,3050,,,Exec,open Firebird port 3050,,shodan_vulnerabilities,52a3f24912796840085e3340eb906d3c,shodan_vulnerabilities__52a3f24912796840085e3340eb906d3c
Port 3150,open Deep Throat Trojan port 3150,,general.alert5,port,3150,,,FTO,open Deep Throat Trojan port 3150,,shodan_vulnerabilities,bead0c25e13f6b8c83ddb4bf675d126d,shodan_vulnerabilities__bead0c25e13f6b8c83ddb4bf675d126d
Port 3306,open MySQL port 3306,,general.alert5,port,3306,,,DiplomaticFacilities,open MySQL port 3306,,shodan_vulnerabilities,ce02992951b6de412fd95380178619ca,shodan_vulnerabilities__ce02992951b6de412fd95380178619ca
Port 3389,open RDP port 3389,,general.alert5,port,3389,,,ForeignMinistry,open RDP port 3389,,shodan_vulnerabilities,1ed34f7f14b9043489516ee21826691a,shodan_vulnerabilities__1ed34f7f14b9043489516ee21826691a
Port 3700,open Portal of Doom port 3700,,general.alert5,port,3700,,,DiplomaticFacilities,open Portal of Doom port 3700,,shodan_vulnerabilities,2bdb901b47c4228bc3bcb2de7bd74f01,shodan_vulnerabilities__2bdb901b47c4228bc3bcb2de7bd74f01
Port 4444,open Metasploit listener port 4444,,general.alert5,port,4444,,,Diplomat,open Metasploit listener port 4444,,shodan_vulnerabilities,eb53837045a556e03cffd2838081453d,shodan_vulnerabilities__eb53837045a556e03cffd2838081453d
Port 4899,open Radmin port 4899,,general.alert5,port,4899,,,Exec,open Radmin port 4899,,shodan_vulnerabilities,ae11a5eebca756f1b3cad246d2b9c15e,shodan_vulnerabilities__ae11a5eebca756f1b3cad246d2b9c15e
Port 4950,open ICQ Trojan port 4950,,general.alert5,port,4950,,,News,open ICQ Trojan port 4950,,shodan_vulnerabilities,0bbd4f08db3917749dd71d26d4a27a94,shodan_vulnerabilities__0bbd4f08db3917749dd71d26d4a27a94
Port 5432,open PostgreSQL port 5432,,general.alert5,port,5432,,,Organization,open PostgreSQL port 5432,,shodan_vulnerabilities,d1aa35273117d1344241f22a691e27d4,shodan_vulnerabilities__d1aa35273117d1344241f22a691e27d4
Port 5900,open VNC port 5900,,general.alert5,port,5900,,,Consulates,open VNC port 5900,,shodan_vulnerabilities,89b751f0dca3ac6d4cf278b0915f081c,shodan_vulnerabilities__89b751f0dca3ac6d4cf278b0915f081c
Port 5984,open CouchDB port 5984,,general.alert5,port,5984,,,Consulates,open CouchDB port 5984,,shodan_vulnerabilities,22b063c185b60ea3ad4df16175d7eeec,shodan_vulnerabilities__22b063c185b60ea3ad4df16175d7eeec
Port 6129,open DameWare port 6129,,general.alert5,port,6129,,,Refinery,open DameWare port 6129,,shodan_vulnerabilities,22a21cf1520a7b9195d1f263593fca30,shodan_vulnerabilities__22a21cf1520a7b9195d1f263593fca30
Port 6346,open Gnutella port 6346,,general.alert5,port,6346,,,AAEntity,open Gnutella port 6346,,shodan_vulnerabilities,5385047289544b9285b38c6b6990ba6d,shodan_vulnerabilities__5385047289544b9285b38c6b6990ba6d
Port 6379,open Redis port 6379,,general.alert5,port,6379,,,Keyphrase,open Redis port 6379,,shodan_vulnerabilities,82ba0be6e79e84b240c1d41c1c731e62,shodan_vulnerabilities__82ba0be6e79e84b240c1d41c1c731e62
Port 6400,open The Thing port 6400,,general.alert5,port,6400,,,Keyphrase,open The Thing port 6400,,shodan_vulnerabilities,f48d02c74a126d15e2180fa3251e7f1a,shodan_vulnerabilities__f48d02c74a126d15e2180fa3251e7f1a
Port 6660,open Internet Relay Chat port 6660,,general.alert5,port,6660,,,Keyphrase,open Internet Relay Chat port 6660,,shodan_vulnerabilities,293fa9788e0748632518b788976c2e46,shodan_vulnerabilities__293fa9788e0748632518b788976c2e46
Port 6667,open Trinity intruder-to-master port 6667,,general.alert5,port,6667,,,News,open Trinity intruder-to-master port 6667,,shodan_vulnerabilities,84a5545ef37ce62805be1b3b0b51c933,shodan_vulnerabilities__84a5545ef37ce62805be1b3b0b51c933
Port 6670,open Deep Throat Trojan port 6670,,general.alert5,port,6670,,,LegislativeCommittee,open Deep Throat Trojan port 6670,,shodan_vulnerabilities,0eef4d6ed5ecec20f6bb0f04d7ec553a,shodan_vulnerabilities__0eef4d6ed5ecec20f6bb0f04d7ec553a
Port 8087,open Riak port 8087,,general.alert5,port,8087,,,Pipeline,open Riak port 8087,,shodan_vulnerabilities,0c440cc828f0f97419263692134c27cf,shodan_vulnerabilities__0c440cc828f0f97419263692134c27cf
Port 8866,open Beagle.B Trojan port 8866,,general.alert5,port,8866,,,CompanyKeyword,open Beagle.B Trojan port 8866,,shodan_vulnerabilities,ca266db77873ffe6d5acdec6b2441012,shodan_vulnerabilities__ca266db77873ffe6d5acdec6b2441012
Port 9200,open Elasticsearch port 9200,,general.alert5,port,9200,,,News,open Elasticsearch port 9200,,shodan_vulnerabilities,bef9551f15b2ec88d15441e0d988421d,shodan_vulnerabilities__bef9551f15b2ec88d15441e0d988421d
Port 10000,open Network Data Management Protocol	 port 10000,,general.alert5,port,10000,,,Exec,open Network Data Management Protocol	 port 10000,,shodan_vulnerabilities,3406f00577108dc70ddabeedbc331031,shodan_vulnerabilities__3406f00577108dc70ddabeedbc331031
Port 11211,open Memcached port 11211,,general.alert5,port,11211,,,Exec,open Memcached port 11211,,shodan_vulnerabilities,031f96f5b2683d5b0d361eaad33f0755,shodan_vulnerabilities__031f96f5b2683d5b0d361eaad33f0755
Port 12345,open Netbus Trojan port 12345,,general.alert5,port,12345,,,Exec,open Netbus Trojan port 12345,,shodan_vulnerabilities,f851510611d66f4c304c229c536cecb7,shodan_vulnerabilities__f851510611d66f4c304c229c536cecb7
Port 12346,open NetBus Trojan port 12346,,general.alert5,port,12346,,,Consulates,open NetBus Trojan port 12346,,shodan_vulnerabilities,b76ae594d86375ea95abc4a1a5e80817,shodan_vulnerabilities__b76ae594d86375ea95abc4a1a5e80817
Port 14464,open ZeroAccess Trojan port 14464,,general.alert5,port,14464,,,News,open ZeroAccess Trojan port 14464,,shodan_vulnerabilities,a86526372516f88a9250fa3848821c53,shodan_vulnerabilities__a86526372516f88a9250fa3848821c53
Port 16660,open Stacheldraht intruder-to-master port 16660,,general.alert5,port,16660,,,Media,open Stacheldraht intruder-to-master port 16660,,shodan_vulnerabilities,735d933220cf41de3da77372c163ac51,shodan_vulnerabilities__735d933220cf41de3da77372c163ac51
Port 17300,open Kuang2 Trojan port 17300,,general.alert5,port,17300,,,ForeignMinistry,open Kuang2 Trojan port 17300,,shodan_vulnerabilities,8a9b0cb78c00a0fbea613661b51a6396,shodan_vulnerabilities__8a9b0cb78c00a0fbea613661b51a6396
Port 18753,open Shaft master-to-daemon port 18753,,general.alert5,port,18753,,,Legislator,open Shaft master-to-daemon port 18753,,shodan_vulnerabilities,16547c09a9c31b4e0baaa8c2be449213,shodan_vulnerabilities__16547c09a9c31b4e0baaa8c2be449213
Port 20034,open NetBus 2 Pro port 20034,,general.alert5,port,20034,,,News,open NetBus 2 Pro port 20034,,shodan_vulnerabilities,9cd23acdbe00fa26ec0ba17603a082a7,shodan_vulnerabilities__9cd23acdbe00fa26ec0ba17603a082a7
Port 20432,open Shaft intruder-to-master port 20432,,general.alert5,port,20432,,,Refinery,open Shaft intruder-to-master port 20432,,shodan_vulnerabilities,e127e2bee564c836378b6617d8bfcc41,shodan_vulnerabilities__e127e2bee564c836378b6617d8bfcc41
Port 20433,open Shaft daemon-to-master port 20433,,general.alert5,port,20433,,,CompanyKeyword,open Shaft daemon-to-master port 20433,,shodan_vulnerabilities,512efe5aa01457689e2a84da5565c03d,shodan_vulnerabilities__512efe5aa01457689e2a84da5565c03d
Port 27017,open MongoDB port 27017,,general.alert5,port,27017,,,ForeignMinistry,open MongoDB port 27017,,shodan_vulnerabilities,6890e36a265943c7eeda1a378e1f2678,shodan_vulnerabilities__6890e36a265943c7eeda1a378e1f2678
Port 27374,open SubSeven server port 27374,,general.alert5,port,27374,,,Pipeline,open SubSeven server port 27374,,shodan_vulnerabilities,e291a9a68136a59d6c7e6e6e716f9dfb,shodan_vulnerabilities__e291a9a68136a59d6c7e6e6e716f9dfb
Port 27444,open Trinoo master-to-daemon port 27444,,general.alert5,port,27444,,,Keyphrase,open Trinoo master-to-daemon port 27444,,shodan_vulnerabilities,fed62b92067c5bf0e2c3cd3a7776c224,shodan_vulnerabilities__fed62b92067c5bf0e2c3cd3a7776c224
Port 27665,open Trinoo intruder-to-master port 27665,,general.alert5,port,27665,,,Wells,open Trinoo intruder-to-master port 27665,,shodan_vulnerabilities,40f7ac6e77d29e4167c62b7d2902b424,shodan_vulnerabilities__40f7ac6e77d29e4167c62b7d2902b424
Port 30100,open NetSphere port 30100,,general.alert5,port,30100,,,LegislativeCommittee,open NetSphere port 30100,,shodan_vulnerabilities,9ac2237b4dbe231a6d073a12e9e91789,shodan_vulnerabilities__9ac2237b4dbe231a6d073a12e9e91789
Port 31335,open Trinoo daemon-to-master port 31335,,general.alert5,port,31335,,,Pipeline,open Trinoo daemon-to-master port 31335,,shodan_vulnerabilities,44cc70b425869325e7241865640577e6,shodan_vulnerabilities__44cc70b425869325e7241865640577e6
Port 31337,open Back Orifice port 31337,,general.alert5,port,31337,,,Legislator,open Back Orifice port 31337,,shodan_vulnerabilities,8bb6abe40748f54736a6e68a73bc59d2,shodan_vulnerabilities__8bb6abe40748f54736a6e68a73bc59d2
Port 33270,open Trinity master-to-daemon port 33270,,general.alert5,port,33270,,,Refinery,open Trinity master-to-daemon port 33270,,shodan_vulnerabilities,2a9fb28ad66e4a7955a76e60bfccd5f6,shodan_vulnerabilities__2a9fb28ad66e4a7955a76e60bfccd5f6
Port 33567,open Backdoor rootshell port 33567,,general.alert5,port,33567,,,Legislator,open Backdoor rootshell port 33567,,shodan_vulnerabilities,da44001cdb46cbfbcb22a64a7be317b0,shodan_vulnerabilities__da44001cdb46cbfbcb22a64a7be317b0
Port 40421,open Masters Paradise Trojan port 40421,,general.alert5,port,40421,,,ForeignMinistry,open Masters Paradise Trojan port 40421,,shodan_vulnerabilities,c264438c0454a4ae5fd59d83684cc728,shodan_vulnerabilities__c264438c0454a4ae5fd59d83684cc728
Port 54984,open NanoCore RAT port 54984,,general.alert5,port,54984,,,Wells,open NanoCore RAT port 54984,,shodan_vulnerabilities,facf19a57083d964a4235d56fd9c9b12,shodan_vulnerabilities__facf19a57083d964a4235d56fd9c9b12
Port 60008,open Lion worm backdoor rootshell port 60008,,general.alert5,port,60008,,,Refinery,open Lion worm backdoor rootshell port 60008,,shodan_vulnerabilities,f985f9d344e116b60c55e72fa34c393e,shodan_vulnerabilities__f985f9d344e116b60c55e72fa34c393e
Port 65000,open Stacheldraht master-to-daemon port 65000,,general.alert5,port,65000,,,IndustryTerm,open Stacheldraht master-to-daemon port 65000,,shodan_vulnerabilities,230a736e0b70cad7655d5e28372a3613,shodan_vulnerabilities__230a736e0b70cad7655d5e28372a3613
