caption_name,address,coordinates,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
Delaware Township,"Dingmans Ferry, PA","41.2200946, -74.8712799",Exec,Delaware Township,,shodan_ps_locations,251f6c2a90073252e11a67d0d97574b4,shodan_ps_locations__251f6c2a90073252e11a67d0d97574b4
City of Delray Beach,"Delray Beach, FL","26.4614625, -80.0728201",ForeignMinister,City of Delray Beach,,shodan_ps_locations,6f9a94a87f1225429bce27b3d33a0d0f,shodan_ps_locations__6f9a94a87f1225429bce27b3d33a0d0f
Delta Charter Township,"Lansing, MI","42.732535, -84.5555347",Diplomat,Delta Charter Township,,shodan_ps_locations,14fc345b32037979885d89ef70c1731c,shodan_ps_locations__14fc345b32037979885d89ef70c1731c
City Of Deltona,"Deltona, FL","28.9005446, -81.2636738",Keyphrase,City Of Deltona,,shodan_ps_locations,746796d4c9a11f5970d61a57db24b74f,shodan_ps_locations__746796d4c9a11f5970d61a57db24b74f
City of Demopolis,"Demopolis, AL","32.5176361, -87.836402",Person,City of Demopolis,,shodan_ps_locations,fd65d51ef8d62633e4dbdc3e9944e4d5,shodan_ps_locations__fd65d51ef8d62633e4dbdc3e9944e4d5
City of Denton,"Denton, TX","33.2148412, -97.1330683",News,City of Denton,,shodan_ps_locations,ee98b287212c601d9412e0071ca8ee3b,shodan_ps_locations__ee98b287212c601d9412e0071ca8ee3b
Technology Services,"Denver, CO","39.7392358, -104.990251",Wells,Technology Services,,shodan_ps_locations,a031f72b8bed265fcaf2d107a73d370a,shodan_ps_locations__a031f72b8bed265fcaf2d107a73d370a
City of De Pere,"De Pere, WI","44.4488805, -88.0603806",ForeignMinister,City of De Pere,,shodan_ps_locations,e704078afa710297c9a0d7766b8394d6,shodan_ps_locations__e704078afa710297c9a0d7766b8394d6
City of Derby,"Derby, CT","41.3206523, -73.0889973",Person,City of Derby,,shodan_ps_locations,a58315478f02ef695c5c0be2b41c699d,shodan_ps_locations__a58315478f02ef695c5c0be2b41c699d
City of Des Moines,"Des Moines, WA","47.4017661, -122.3242901",News,City of Des Moines,,shodan_ps_locations,43c46848fb9df07f7c700f0fe48d6e6f,shodan_ps_locations__43c46848fb9df07f7c700f0fe48d6e6f
City of DeSoto,"DeSoto, TX","32.5896998, -96.8570738",Organization,City of DeSoto,,shodan_ps_locations,9ff15702307028789aa8626442cd58ea,shodan_ps_locations__9ff15702307028789aa8626442cd58ea
City of Detroit - ITSD,"Detroit, MI","42.331427, -83.0457538",CompanyKeyword,City of Detroit - ITSD,,shodan_ps_locations,7021f2c2e002bd6c72c19f148a5b39f8,shodan_ps_locations__7021f2c2e002bd6c72c19f148a5b39f8
City of DeWitt,"DeWitt, AR","34.2928774, -91.3378987",Consulates,City of DeWitt,,shodan_ps_locations,fb00ea03bb4ad7fa72fbfc593c907210,shodan_ps_locations__fb00ea03bb4ad7fa72fbfc593c907210
Village of Dexter,"Dexter, MI","42.3383697, -83.8885552",News,Village of Dexter,,shodan_ps_locations,03268d0be1f20bbd87e27eb9e71fc9d2,shodan_ps_locations__03268d0be1f20bbd87e27eb9e71fc9d2
Town of Dewey-Humboldt,"Humboldt, AZ","34.5056894, -112.2427894",Organization,Town of Dewey-Humboldt,,shodan_ps_locations,8c755731687c095fc1d630e67058a457,shodan_ps_locations__8c755731687c095fc1d630e67058a457
City of Diamond Bar,"Diamond Bar, CA","34.0286226, -117.8103367",Refinery,City of Diamond Bar,,shodan_ps_locations,06e971261ab872d2bd6488cd26e25ca2,shodan_ps_locations__06e971261ab872d2bd6488cd26e25ca2
City of Dickinson,"Dickinson, TX","29.4607876, -95.0513172",ForeignMinister,City of Dickinson,,shodan_ps_locations,82d9bff0fadfffb63066ebe16bcfc9a2,shodan_ps_locations__82d9bff0fadfffb63066ebe16bcfc9a2
Dickson City Borough,"Dickson City, PA","41.467642, -75.6187766",Pipeline,Dickson City Borough,,shodan_ps_locations,02d61967bb02203a0a92345c53bb8469,shodan_ps_locations__02d61967bb02203a0a92345c53bb8469
Town of Dighton,"Dighton, MA","41.843859, -71.1567344",Media,Town of Dighton,,shodan_ps_locations,a8ce3bf52a845c107ebdd5eb9ba2c4fd,shodan_ps_locations__a8ce3bf52a845c107ebdd5eb9ba2c4fd
City of Waukesha,"Waukesha, WI","43.0116784, -88.2314813",Exec,City of Waukesha,,shodan_ps_locations,4dff94b3afcfc35eda2a057a8a03961a,shodan_ps_locations__4dff94b3afcfc35eda2a057a8a03961a
City of Donald,"Donald, OR","45.2223418, -122.8392624",space,City of Donald,,shodan_ps_locations,9437e4145ae0e4593d499a134d48c37c,shodan_ps_locations__9437e4145ae0e4593d499a134d48c37c
City of Donaldsonville,"Donaldsonville, LA","30.1010323, -90.9928773",ForeignMinister,City of Donaldsonville,,shodan_ps_locations,c0dd6e06aea3760f7a91ecd6ed4db42d,shodan_ps_locations__c0dd6e06aea3760f7a91ecd6ed4db42d
City of Doral IT Department,"Doral, FL","25.8195424, -80.3553302",space,City of Doral IT Department,,shodan_ps_locations,e1a82ffc04d7b86ea62c35a0fe537e31,shodan_ps_locations__e1a82ffc04d7b86ea62c35a0fe537e31
City of Doral,"Doral, FL","25.8195424, -80.3553302",CompanyKeyword,City of Doral,,shodan_ps_locations,53803e06eaede3d273d3c7b5f0fd433a,shodan_ps_locations__53803e06eaede3d273d3c7b5f0fd433a
Town of Douglas,"Douglas, MA","42.0543449, -71.739379",Organization,Town of Douglas,,shodan_ps_locations,cae26c3ed0985c32eca2f5ba790f217e,shodan_ps_locations__cae26c3ed0985c32eca2f5ba790f217e
City of Douglasville,"Douglasville, GA","33.7514966, -84.7477136",Legislator,City of Douglasville,,shodan_ps_locations,715dc8b16950734c70cf9f9440184e94,shodan_ps_locations__715dc8b16950734c70cf9f9440184e94
Town of Dracut,"Dracut, MA","42.6703687, -71.3020052",ForeignMinistry,Town of Dracut,,shodan_ps_locations,5c38dc2681de17abbfd10477f59332e9,shodan_ps_locations__5c38dc2681de17abbfd10477f59332e9
"City of Druid Hills, KY","Louisville, KY","38.2526647, -85.7584557",Consulates,"City of Druid Hills, KY",,shodan_ps_locations,ef6091871b28fd9dad19362aed78e9c6,shodan_ps_locations__ef6091871b28fd9dad19362aed78e9c6
City of Dublin,"Dublin, CA","37.7159396, -121.9101221",Shipping,City of Dublin,,shodan_ps_locations,757dd43aa50ba60b2ad7926d6eef8512,shodan_ps_locations__757dd43aa50ba60b2ad7926d6eef8512
"City of Dublin, Ohio","Dublin, OH","40.0992294, -83.1140771",Exec,"City of Dublin, Ohio",,shodan_ps_locations,8f873bd559f63191563bb696e6e25c7b,shodan_ps_locations__8f873bd559f63191563bb696e6e25c7b
City of DuBois PA,"DuBois, PA","41.1210115, -78.7583257",Keyphrase,City of DuBois PA,,shodan_ps_locations,8c15f3cfb86dc53900bc7cd862968e6b,shodan_ps_locations__8c15f3cfb86dc53900bc7cd862968e6b
TOWN OF DUDLEY,"Dudley, MA","42.0433661, -71.9276033",Person,TOWN OF DUDLEY,,shodan_ps_locations,d34a602ead71820d28359ee80fbbec6d,shodan_ps_locations__d34a602ead71820d28359ee80fbbec6d
City of Duluth,"Duluth, MN","46.7866719, -92.1004852",Legislator,City of Duluth,,shodan_ps_locations,2d2dc359e847a2ba93ad4a45d4af1387,shodan_ps_locations__2d2dc359e847a2ba93ad4a45d4af1387
City of Dumas,"Dumas, TX","35.8653789, -101.9732236",Person,City of Dumas,,shodan_ps_locations,c57698fab2e94a633cab5f20ee133f9b,shodan_ps_locations__c57698fab2e94a633cab5f20ee133f9b
Town of Dumfries,"Dumfries, VA","38.5676202, -77.3280382",Consulates,Town of Dumfries,,shodan_ps_locations,2a74b1b045470654a36bd4d0805348a8,shodan_ps_locations__2a74b1b045470654a36bd4d0805348a8
Borough of Dumont,"Dumont, NJ","40.9406541, -73.9968051",Media,Borough of Dumont,,shodan_ps_locations,18d509793d45ea038c3d26f09351cc9e,shodan_ps_locations__18d509793d45ea038c3d26f09351cc9e
City of Duncan,"Duncan, OK","34.5023028, -97.9578128",Exec,City of Duncan,,shodan_ps_locations,f3454567591e1863a58faa73bd34cce1,shodan_ps_locations__f3454567591e1863a58faa73bd34cce1
City of Duncanville,"Duncanville, TX","32.6518004, -96.9083366",News,City of Duncanville,,shodan_ps_locations,cae908f98107d7e4f5f5f2f095970d35,shodan_ps_locations__cae908f98107d7e4f5f5f2f095970d35
Village of Dundee,"Dundee, MI","41.9572676, -83.6596596",Refinery,Village of Dundee,,shodan_ps_locations,e1471629490c25bf3a4fd7250d1f407c,shodan_ps_locations__e1471629490c25bf3a4fd7250d1f407c
Borough of Dunellen,"Dunellen, NJ","40.5892696, -74.4718201",CompanyKeyword,Borough of Dunellen,,shodan_ps_locations,b41194606e92a749f4c192d4aaeb7896,shodan_ps_locations__b41194606e92a749f4c192d4aaeb7896
Dunmore Borough,"Dunmore, PA","41.4198027, -75.6324112",IndustryTerm,Dunmore Borough,,shodan_ps_locations,2c9088f6c273f8f51c3ae4c9a2011232,shodan_ps_locations__2c9088f6c273f8f51c3ae4c9a2011232
Town of Dunstable,"Dunstable, MA","42.6750898, -71.4828433",IndustryTerm,Town of Dunstable,,shodan_ps_locations,e84e7cdbf91ebe27842287bdc966b992,shodan_ps_locations__e84e7cdbf91ebe27842287bdc966b992
City of Dunwoody Georgia,"Dunwoody, GA","33.9462125, -84.3346473",Pipeline,City of Dunwoody Georgia,,shodan_ps_locations,ee0897e261318a997b75855b5f8ca3f7,shodan_ps_locations__ee0897e261318a997b75855b5f8ca3f7
City of DuPont,"DuPont, WA","47.1003223, -122.6447891",News,City of DuPont,,shodan_ps_locations,2db1911e28a90bd6c204a73084eef1b2,shodan_ps_locations__2db1911e28a90bd6c204a73084eef1b2
City of Durham,"Durham, NC","35.9940329, -78.898619",DiplomaticFacilities,City of Durham,,shodan_ps_locations,1927bbf8d86498c92302d9ada76ceaab,shodan_ps_locations__1927bbf8d86498c92302d9ada76ceaab
Dushore Borough,"Dushore, PA","41.524242, -76.4007744",CompanyKeyword,Dushore Borough,,shodan_ps_locations,fd40556701db6ebf182ff59aa837179a,shodan_ps_locations__fd40556701db6ebf182ff59aa837179a
Dutchess Co. Office of Computer Information Services,"Poughkeepsie, NY","41.7003713, -73.9209701",space,Dutchess Co. Office of Computer Information Services,,shodan_ps_locations,49a5801dba32e729c8ec49c96722f3ac,shodan_ps_locations__49a5801dba32e729c8ec49c96722f3ac
City of Duvall,"Duvall, WA","47.7423218, -121.9856781",Organization,City of Duvall,,shodan_ps_locations,bb96ca2b6304adaa84aa3f8fd2c31e49,shodan_ps_locations__bb96ca2b6304adaa84aa3f8fd2c31e49
Borough of Delaware Water Gap,"Delaware Water Gap, PA","40.9792619, -75.1429563",DiplomaticFacilities,Borough of Delaware Water Gap,,shodan_ps_locations,a3a9b329fe1c7f702175fc3a7774041c,shodan_ps_locations__a3a9b329fe1c7f702175fc3a7774041c
City of Dyersburg,"Dyersburg, TN","36.0345159, -89.3856281",ForeignMinister,City of Dyersburg,,shodan_ps_locations,230f708bc15aebdf0fd4636653b2e67f,shodan_ps_locations__230f708bc15aebdf0fd4636653b2e67f
Town of Eagar,"Eagar, AZ","34.1111581, -109.291475",Refinery,Town of Eagar,,shodan_ps_locations,dab495c031d997e8a92973da9af75f93,shodan_ps_locations__dab495c031d997e8a92973da9af75f93
Village of Eagle,"Eagle, WI","42.8794563, -88.474265",space,Village of Eagle,,shodan_ps_locations,38408ebdae468a260a1c4c3e80f30b58,shodan_ps_locations__38408ebdae468a260a1c4c3e80f30b58
City of Eastborough,"Eastborough, KS","37.686989, -97.2597969",IndustryTerm,City of Eastborough,,shodan_ps_locations,a837ef39fc5a1041cb856e98a0b34f51,shodan_ps_locations__a837ef39fc5a1041cb856e98a0b34f51
Town of East Bridgewater,"East Bridgewater, MA","42.0334341, -70.9592096",Refinery,Town of East Bridgewater,,shodan_ps_locations,53edf37d5ac902816ffccbb2f8cbc840,shodan_ps_locations__53edf37d5ac902816ffccbb2f8cbc840
East Coventry Township,"Pottstown, PA","40.2453741, -75.6496302",Organization,East Coventry Township,,shodan_ps_locations,0f2645df6833944eb649d598283b1c92,shodan_ps_locations__0f2645df6833944eb649d598283b1c92
Town Of East Fishkill,"Hopewell Junction, NY","41.5839823, -73.8087442",Legislator,Town Of East Fishkill,,shodan_ps_locations,aad13c6d930462bb130d8343ef1f2992,shodan_ps_locations__aad13c6d930462bb130d8343ef1f2992
Town of Eastham,"Eastham, MA","41.8299634, -69.9740361",FTO,Town of Eastham,,shodan_ps_locations,c9e1c37a00e5d64d5948e2b31582f0ba,shodan_ps_locations__c9e1c37a00e5d64d5948e2b31582f0ba
Town of East Hampton,"East Hampton, CT","41.5757748, -72.5026249",Shipping,Town of East Hampton,,shodan_ps_locations,41dae439d1b450a8bcb361a078f4bc76,shodan_ps_locations__41dae439d1b450a8bcb361a078f4bc76
City of Easthampton,"Easthampton, MA","42.266757, -72.66898",Exec,City of Easthampton,,shodan_ps_locations,074ab114e73f3ea482c0e0160d9d427c,shodan_ps_locations__074ab114e73f3ea482c0e0160d9d427c
The Trustees of the Town of East Hampton,"Amagansett, NY","40.9737117, -72.1436884",Legislator,The Trustees of the Town of East Hampton,,shodan_ps_locations,ce9f161b61dce79fb524891b8a4e344c,shodan_ps_locations__ce9f161b61dce79fb524891b8a4e344c
Incorporated Village Of East Hampton,"East Hampton, NY","40.9634335, -72.1848009",Legislator,Incorporated Village Of East Hampton,,shodan_ps_locations,93751a3fd25ea312199f86c426eb46eb,shodan_ps_locations__93751a3fd25ea312199f86c426eb46eb
Town of East Hartford,"East Hartford, CT","41.7634219, -72.6128339",Person,Town of East Hartford,,shodan_ps_locations,f1ac70d46c73d0a6bb159cb7863328c2,shodan_ps_locations__f1ac70d46c73d0a6bb159cb7863328c2
Town of East Kingston NH,"East Kingston, NH","42.925219, -71.0165766",ForeignMinistry,Town of East Kingston NH,,shodan_ps_locations,49b8fc18ceca59ff2241feb725500531,shodan_ps_locations__49b8fc18ceca59ff2241feb725500531
City of Eastland,"Eastland, TX","32.4015198, -98.8175623",CompanyKeyword,City of Eastland,,shodan_ps_locations,9ed438d68ea79e7af9eff279c78b38bd,shodan_ps_locations__9ed438d68ea79e7af9eff279c78b38bd
Town of East Longmeadow,"East Longmeadow, MA","42.0645396, -72.5125863",FTO,Town of East Longmeadow,,shodan_ps_locations,529ef053b83be58e4729dcc77780ed99,shodan_ps_locations__529ef053b83be58e4729dcc77780ed99
City of East Mountain,"East Mountain, TX","32.5937539, -94.8554918",IndustryTerm,City of East Mountain,,shodan_ps_locations,a8a9b193f7488fe6630bb72d7e492068,shodan_ps_locations__a8a9b193f7488fe6630bb72d7e492068
City of Easton,"Easton, PA","40.688432, -75.2207323",DiplomaticFacilities,City of Easton,,shodan_ps_locations,2b276848a6617b470fc3abb8083620e2,shodan_ps_locations__2b276848a6617b470fc3abb8083620e2
"Town of Easton, Connecticut, USA","Easton, CT","41.2712056, -73.2966405",FTO,"Town of Easton, Connecticut, USA",,shodan_ps_locations,970c69a8c57fa1ac77d3b2d8c40e8827,shodan_ps_locations__970c69a8c57fa1ac77d3b2d8c40e8827
Town of Easton,"Easton, MD","38.7742826, -76.0763305",Diplomat,Town of Easton,,shodan_ps_locations,77891a24a56c3653a1d282a1de0eb1ff,shodan_ps_locations__77891a24a56c3653a1d282a1de0eb1ff
City Of East ORange,"East ORange, NJ","40.767323, -74.2048677",ForeignMinister,City Of East ORange,,shodan_ps_locations,675bac4856f1d905fdf8fc39b4848131,shodan_ps_locations__675bac4856f1d905fdf8fc39b4848131
City of East Palestine,"East Palestine, OH","40.8339509, -80.5403469",Diplomat,City of East Palestine,,shodan_ps_locations,00e6034624b4b0b48a4f1ff54a66aa81,shodan_ps_locations__00e6034624b4b0b48a4f1ff54a66aa81
City of Eastpointe,"Eastpointe, MI","42.4683698, -82.9554746",Consulates,City of Eastpointe,,shodan_ps_locations,c73f4cfd0c0720287a6bcb4545fb0e64,shodan_ps_locations__c73f4cfd0c0720287a6bcb4545fb0e64
Town of Eastport,"Eastport, ME","44.9061906, -66.9899785",CompanyKeyword,Town of Eastport,,shodan_ps_locations,83f2bb6c8687fbabcff22b080a68ffe3,shodan_ps_locations__83f2bb6c8687fbabcff22b080a68ffe3
City of East Ridge,"East Ridge, TN","34.9947441, -85.2256635",Organization,City of East Ridge,,shodan_ps_locations,73c7f28398edabfbf86b8acdd10350bd,shodan_ps_locations__73c7f28398edabfbf86b8acdd10350bd
Village of East Troy,"East Troy, WI","42.7852922, -88.405096",AAEntity,Village of East Troy,,shodan_ps_locations,752d36ca805e5c13665fe6b2b81aaead,shodan_ps_locations__752d36ca805e5c13665fe6b2b81aaead
City of Eastvale,"Eastvale, CA","33.952463, -117.5848025",Exec,City of Eastvale,,shodan_ps_locations,f5d18c44f50a4221a901b98c6a0e6989,shodan_ps_locations__f5d18c44f50a4221a901b98c6a0e6989
City of East Wenatchee,"East Wenatchee, WA","47.4156824, -120.2931263",DiplomaticFacilities,City of East Wenatchee,,shodan_ps_locations,d6e02e1815a2210489612cfad0bbbb90,shodan_ps_locations__d6e02e1815a2210489612cfad0bbbb90
Town of East Windsor,"Broad Brook, CT","41.9123195, -72.5450873",Pipeline,Town of East Windsor,,shodan_ps_locations,577c473ea7824ca697bfc7f45c093594,shodan_ps_locations__577c473ea7824ca697bfc7f45c093594
Town of Eatonville,"Eatonville, WA","46.8673263, -122.2665021",Legislator,Town of Eatonville,,shodan_ps_locations,cfac402b8cb9096f71ab8c30212bf825,shodan_ps_locations__cfac402b8cb9096f71ab8c30212bf825
Village of Eau Claire,"Eau Claire, MI","41.9850452, -86.2997387",Pipeline,Village of Eau Claire,,shodan_ps_locations,30fece55548abeafa7360a2dabbadd68,shodan_ps_locations__30fece55548abeafa7360a2dabbadd68
City of Eau Claire,"Eau Claire, WI","44.811349, -91.4984941",CompanyKeyword,City of Eau Claire,,shodan_ps_locations,2e7ff51c1da0d6748d2600ae8a7ff156,shodan_ps_locations__2e7ff51c1da0d6748d2600ae8a7ff156
CITY OF ECORSE,"ECORSE, MI","42.2444833, -83.1457569",Consulates,CITY OF ECORSE,,shodan_ps_locations,8f807798982b73cb6ce52f9932c84b88,shodan_ps_locations__8f807798982b73cb6ce52f9932c84b88
Town of Eddington,"Eddington, ME","44.8265844, -68.6935362",Keyphrase,Town of Eddington,,shodan_ps_locations,4fb547b6a1003c121e627d8c698a150c,shodan_ps_locations__4fb547b6a1003c121e627d8c698a150c
Town Of Eden,"Eden, NY","42.652282, -78.8969785",ForeignMinistry,Town Of Eden,,shodan_ps_locations,8e3a8022d1a3b5dde29270c747f60501,shodan_ps_locations__8e3a8022d1a3b5dde29270c747f60501
City of Edgewater,"Edgewater, FL","28.9888754, -80.9022758",space,City of Edgewater,,shodan_ps_locations,649aa3f54aafe659f2a6986cf4b56619,shodan_ps_locations__649aa3f54aafe659f2a6986cf4b56619
"City of Edgewood, Florida","Edgewood, FL","28.4867834, -81.3712852",Wells,"City of Edgewood, Florida",,shodan_ps_locations,3c906f6893488d2418f291c83aa91a15,shodan_ps_locations__3c906f6893488d2418f291c83aa91a15
Town of Edgewood,"Edgewood, NM","35.0614358, -106.1914141",Shipping,Town of Edgewood,,shodan_ps_locations,e279d5a4995ee345713255fb669a922a,shodan_ps_locations__e279d5a4995ee345713255fb669a922a
"City of Edgewood, Kentucky","Edgewood, KY","39.0186719, -84.581888",IndustryTerm,"City of Edgewood, Kentucky",,shodan_ps_locations,4c5b0d462f2f03af2d9f225d31374fda,shodan_ps_locations__4c5b0d462f2f03af2d9f225d31374fda
City of Edina,"Edina, MN","44.8896866, -93.3499489",Diplomat,City of Edina,,shodan_ps_locations,a4a800316b6c8e827d7e0f2bbea49fc1,shodan_ps_locations__a4a800316b6c8e827d7e0f2bbea49fc1
City of Edmonds,"Edmonds, WA","47.8106521, -122.3773551",space,City of Edmonds,,shodan_ps_locations,7f72590b05d4223fa454c7d299b2f2cf,shodan_ps_locations__7f72590b05d4223fa454c7d299b2f2cf
Town of Edmonston,"Edmonston, MD","38.9467777, -76.9310853",AAEntity,Town of Edmonston,,shodan_ps_locations,5e5e15c6302f638366a4e218bb480514,shodan_ps_locations__5e5e15c6302f638366a4e218bb480514
Town of Egremont,"Egremont, MA","42.1777247, -73.4415929",space,Town of Egremont,,shodan_ps_locations,b368ee4509c07becd2d38fc4483cccf0,shodan_ps_locations__b368ee4509c07becd2d38fc4483cccf0
"City of Elba, Alabama","Elba, AL","31.4146108, -86.0677243",Wells,"City of Elba, Alabama",,shodan_ps_locations,0a2a8051b69f6bd0da93861521a81036,shodan_ps_locations__0a2a8051b69f6bd0da93861521a81036
City of El Cenizo,"El Cenizo, TX","27.3321558, -99.5037134",Exec,City of El Cenizo,,shodan_ps_locations,a056b9fd0ff594238ca87c81107d8e23,shodan_ps_locations__a056b9fd0ff594238ca87c81107d8e23
City of Elizabethtown,"Elizabethtown, KY","37.7030646, -85.8649408",News,City of Elizabethtown,,shodan_ps_locations,e4d80eb43ccd9bc997f1ca3235fdece5,shodan_ps_locations__e4d80eb43ccd9bc997f1ca3235fdece5
Village of Elk Grove,"Elk Grove Village, IL","42.0039178, -87.9703461",FTO,Village of Elk Grove,,shodan_ps_locations,939b676258af0358086da934a36ed954,shodan_ps_locations__939b676258af0358086da934a36ed954
Village of Elkhart Lake,"Elkhart Lake, WI","43.8333269, -88.0178729",Diplomat,Village of Elkhart Lake,,shodan_ps_locations,37aa31cf2e084063535d0ad18b63b27e,shodan_ps_locations__37aa31cf2e084063535d0ad18b63b27e
City of Elko,"Elko, NV","40.8324211, -115.7631232",Person,City of Elko,,shodan_ps_locations,751e4c3d18ad74ae8646b82fa14f65de,shodan_ps_locations__751e4c3d18ad74ae8646b82fa14f65de
City of Elk River,"Elk River, MN","45.3377283, -93.5691122",space,City of Elk River,,shodan_ps_locations,dc37c2a96e27d3dc917d0cdc3a7bb915,shodan_ps_locations__dc37c2a96e27d3dc917d0cdc3a7bb915
"Town of Elkton, VA","Elkton, VA","38.4079042, -78.6236277",CompanyKeyword,"Town of Elkton, VA",,shodan_ps_locations,ffeb195ee99bdcd8859527e3137470f7,shodan_ps_locations__ffeb195ee99bdcd8859527e3137470f7
Township of Elk,"Monroeville, NJ","39.6290092, -75.1593816",Wells,Township of Elk,,shodan_ps_locations,a1187fe1684b416e3fd9fcb248a747e1,shodan_ps_locations__a1187fe1684b416e3fd9fcb248a747e1
City of El Lago,"El Lago, TX","29.5732685, -95.0429558",Consulates,City of El Lago,,shodan_ps_locations,525a150586099bc48a935c0850b1ccb8,shodan_ps_locations__525a150586099bc48a935c0850b1ccb8
City of Ellijay,"Ellijay, GA","34.6948076, -84.4821498",ForeignMinistry,City of Ellijay,,shodan_ps_locations,35e4afca2ed3222667fea9a136d0de00,shodan_ps_locations__35e4afca2ed3222667fea9a136d0de00
Town of Ellington,"Ellington, CT","41.9172826, -72.458236",FTO,Town of Ellington,,shodan_ps_locations,2fe98be8546801f6b3673f09c435ec51,shodan_ps_locations__2fe98be8546801f6b3673f09c435ec51
"City of Ellsworth, Maine","Ellsworth, ME","44.5434095, -68.4194641",DiplomaticFacilities,"City of Ellsworth, Maine",,shodan_ps_locations,1e9f2fe25b4816834f59bbbf87e7a231,shodan_ps_locations__1e9f2fe25b4816834f59bbbf87e7a231
City of El Mirage,"El Mirage, AZ","33.6130942, -112.3246042",DiplomaticFacilities,City of El Mirage,,shodan_ps_locations,5ce0555e7c3b1295ea72273d04d411ae,shodan_ps_locations__5ce0555e7c3b1295ea72273d04d411ae
City of El Monte,"El Monte, CA","34.0686206, -118.0275667",ForeignMinistry,City of El Monte,,shodan_ps_locations,df1858e4e34d607c2f2b5e9b074e0215,shodan_ps_locations__df1858e4e34d607c2f2b5e9b074e0215
"M-Tec Systems, Inc","Cincinnati, OH","39.1031182, -84.5120196",Media,"M-Tec Systems, Inc",,shodan_ps_locations,656c2d8acd0ff2ec41c329d90088183a,shodan_ps_locations__656c2d8acd0ff2ec41c329d90088183a
Town of Elon,"Elon, NC","36.1007247, -79.5066403",LegislativeCommittee,Town of Elon,,shodan_ps_locations,8a7cd7e350ea3ddde9aa0962c496ec45,shodan_ps_locations__8a7cd7e350ea3ddde9aa0962c496ec45
City of Eloy,"Eloy, AZ","32.7558962, -111.554844",Pipeline,City of Eloy,,shodan_ps_locations,cf894cf0649340d0419849c7df7c0fef,shodan_ps_locations__cf894cf0649340d0419849c7df7c0fef
City of El Paso,"El Paso, TX","31.7618778, -106.4850217",FTO,City of El Paso,,shodan_ps_locations,5c195e566dac946cb92bca7b26f8379f,shodan_ps_locations__5c195e566dac946cb92bca7b26f8379f
Emerald Bay Municipal Utility District,"Bullard, TX","32.1398804, -95.320229",FTO,Emerald Bay Municipal Utility District,,shodan_ps_locations,17c23a33b52ebfdeb145e94d52dc228e,shodan_ps_locations__17c23a33b52ebfdeb145e94d52dc228e
Emmitsburg Town Government,"Emmitsburg, MD","39.7045417, -77.3269307",IndustryTerm,Emmitsburg Town Government,,shodan_ps_locations,624b90e0e2a9b07ced45c7304cb0f315,shodan_ps_locations__624b90e0e2a9b07ced45c7304cb0f315
City Of Emporia,"Emporia, KS","38.403903, -96.1816626",Person,City Of Emporia,,shodan_ps_locations,6f78743d3418e69fbe2d77440dcd4d71,shodan_ps_locations__6f78743d3418e69fbe2d77440dcd4d71
City of Encinitas,"Encinitas, CA","33.0369867, -117.2919818",Shipping,City of Encinitas,,shodan_ps_locations,998c2078a38e033dfdc519b1a12c7d63,shodan_ps_locations__998c2078a38e033dfdc519b1a12c7d63
Town of Enfield,"Enfield, CT","42.0027181, -72.5441445",Legislator,Town of Enfield,,shodan_ps_locations,11b4f53c45ccf32dbe53dda61b90de1f,shodan_ps_locations__11b4f53c45ccf32dbe53dda61b90de1f
City of Englewood,"Englewood, CO","39.6477653, -104.9877597",Consulates,City of Englewood,,shodan_ps_locations,4326e2aea2b4079b39cbc84eae51bcaf,shodan_ps_locations__4326e2aea2b4079b39cbc84eae51bcaf
City of Ennis Texas,"Ennis, TX","32.3293111, -96.6252679",space,City of Ennis Texas,,shodan_ps_locations,19a6cac934fcc95df7ede7a4caa6e922,shodan_ps_locations__19a6cac934fcc95df7ede7a4caa6e922
Village Of Enon,"Enon, OH","39.8781151, -83.9368765",Legislator,Village Of Enon,,shodan_ps_locations,62d063a8fda07ee73dbd1df72c3614d6,shodan_ps_locations__62d063a8fda07ee73dbd1df72c3614d6
City of Enterprise,"Enterprise, AL","31.3151708, -85.8552161",DiplomaticFacilities,City of Enterprise,,shodan_ps_locations,68e90577a83f663c57d28665b33cdd17,shodan_ps_locations__68e90577a83f663c57d28665b33cdd17
Town of Erie,"Erie, CO","40.0502623, -105.0499817",DiplomaticFacilities,Town of Erie,,shodan_ps_locations,a2c98e1c0def0833f8408b76e01074a1,shodan_ps_locations__a2c98e1c0def0833f8408b76e01074a1
City of Erlanger,"Erlanger, KY","39.0167275, -84.6007773",DiplomaticFacilities,City of Erlanger,,shodan_ps_locations,85a1ace5f826eae57a93e0d5614861e8,shodan_ps_locations__85a1ace5f826eae57a93e0d5614861e8
Town of Erving,"Erving, MA","42.6000863, -72.3981416",News,Town of Erving,,shodan_ps_locations,1422e5248840918910eba86de046c202,shodan_ps_locations__1422e5248840918910eba86de046c202
City of Espanola,"Espanola, NM","35.9910383, -106.0818233",Person,City of Espanola,,shodan_ps_locations,a0cf2b7703362795afd941e15a827466,shodan_ps_locations__a0cf2b7703362795afd941e15a827466
Essex Town Hall,"Essex, CT","41.3503671, -72.405239",Exec,Essex Town Hall,,shodan_ps_locations,fb894dfda6d5a3dee5d1dfb5f8a99fd3,shodan_ps_locations__fb894dfda6d5a3dee5d1dfb5f8a99fd3
