handle,caption_name,location,exclude_groups,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
oppahmuchinguri,Zimbabwean Defense Minister Oppah Muchinguri,a544,zimbabwe,Zimbabwe,Shipping,Zimbabwean Defense Minister Oppah Muchinguri,,defmin_mentioner2,1e5ac087ba7229bd24701a2dc3556dc4,defmin_mentioner2__1e5ac087ba7229bd24701a2dc3556dc4
genyasinzia,acting Afghan Defense Minister Zia,a486,afghanistan,Afghanistan,FTO,acting Afghan Defense Minister Zia,,defmin_mentioner2,debcb0fda08cf2103b304f8814e0a80a,defmin_mentioner2__debcb0fda08cf2103b304f8814e0a80a
mimikodheli,Albanian Defense Minister Kodheli,a487,albania,Albania,AAEntity,Albanian Defense Minister Kodheli,,defmin_mentioner2,08ee480ddb81295631a626ff7ab5e2fd,defmin_mentioner2__08ee480ddb81295631a626ff7ab5e2fd
rossiagustinok,Argentine Defense Minister Rossi,a488,argentina,Argentina,Shipping,Argentine Defense Minister Rossi,,defmin_mentioner2,09f0249c16a37625aa6c4fa3568a2965,defmin_mentioner2__09f0249c16a37625aa6c4fa3568a2965
@dedonderludivin,Belgian Defense Minister Dedonder,a451,belgium,Belgium,DiplomaticFacilities,Belgian Defense Minister Dedonder,,defmin_mentioner2,e867b57d814aefd65d05cc4b31ee841a,defmin_mentioner2__e867b57d814aefd65d05cc4b31ee841a
bprokurica,Chilean Defense Minister Prokurica,a493,chile,Chile,ForeignMinister,Chilean Defense Minister Prokurica,,defmin_mentioner2,cb39e1a13e24755381bc0245467e581d,defmin_mentioner2__cb39e1a13e24755381bc0245467e581d
diego_molano,Colombian Defense Ministry Molano,a494,colombia,Colombia,ForeignMinistry,Colombian Defense Ministry Molano,,defmin_mentioner2,ea15c7ffdec9b534b2fd57f859b2fa97,defmin_mentioner2__ea15c7ffdec9b534b2fd57f859b2fa97
@petridesch,Cypriot Defense Minister Petrides,a453,cyprus,Cyprus,Exec,Cypriot Defense Minister Petrides,,defmin_mentioner2,b20152442cb1303e807fbb5c1b6aa387,defmin_mentioner2__b20152442cb1303e807fbb5c1b6aa387
@trinebramsen,Danish Defense Minister Bramsen,a454,denmark,Denmark,ForeignMinister,Danish Defense Minister Bramsen,,defmin_mentioner2,5b2899c0fb634494d23ce9495e1f2c5a,defmin_mentioner2__5b2899c0fb634494d23ce9495e1f2c5a
@anttikaikkonen,Finnish Defense Minister Kaikkonen,a457,finland,Finland,Person,Finnish Defense Minister Kaikkonen,,defmin_mentioner2,03a624d1f394cee89036c5b8e2265c3d,defmin_mentioner2__03a624d1f394cee89036c5b8e2265c3d
@florence_parly,French Defense Minister Parly,a502,france,France,ForeignMinistry,French Defense Minister Parly,,defmin_mentioner2,858311453292241e215515bcb89c98eb,defmin_mentioner2__858311453292241e215515bcb89c98eb
@akk,German Defense Minister Kramp-Karrenbauer,a503,germany,Germany,Media,German Defense Minister Kramp-Karrenbauer,,defmin_mentioner2,980ff3384ca91fb6f97c2089783c1a40,defmin_mentioner2__980ff3384ca91fb6f97c2089783c1a40
@npanagioto,Greek Defense Minister Panagiotopoulos,a460,greece,Greece,Organization,Greek Defense Minister Panagiotopoulos,,defmin_mentioner2,56d35ea5060725081b5b47482584f06f,defmin_mentioner2__56d35ea5060725081b5b47482584f06f
amirhatami_ir,Iranian Defense Minister Hatami,a547,iran,Iran,Shipping,Iranian Defense Minister Hatami,,defmin_mentioner2,1d590a21635edddc980fad82d7565184,defmin_mentioner2__1d590a21635edddc980fad82d7565184
jouma_anad,Iraqi Defense Minister Anad,a507,iraq,Iraq,AAEntity,Iraqi Defense Minister Anad,,defmin_mentioner2,45cb8187eb741ee1883e6cc846d9caed,defmin_mentioner2__45cb8187eb741ee1883e6cc846d9caed
gantzbe,Israeli Defense Minister Gantz,a463,israel,Israel,Shipping,Israeli Defense Minister Gantz,,defmin_mentioner2,ce0fea4d260a2053a2402ee18cc10d20,defmin_mentioner2__ce0fea4d260a2053a2402ee18cc10d20
kishinobuo,Japanese Defense Minister Kishi,a466,japan,Japan,Diplomat,Japanese Defense Minister Kishi,,defmin_mentioner2,ff1e8e238fe9bf5d3b77d0dc246bb575,defmin_mentioner2__ff1e8e238fe9bf5d3b77d0dc246bb575
zeinaakar,Lebanese caretaker Defense Minister Akar,a548,lebanon,Lebanon,IndustryTerm,Lebanese caretaker Defense Minister Akar,,defmin_mentioner2,8d65b5edf8d6f18a36d059c15b7d7376,defmin_mentioner2__8d65b5edf8d6f18a36d059c15b7d7376
@ismailsabri60,Malaysian Defense Minister Ismail Sabri,a509,malaysia,Malaysia,Keyphrase,Malaysian Defense Minister Ismail Sabri,,defmin_mentioner2,a4216a8a02c501e33ab72a436113f136,defmin_mentioner2__a4216a8a02c501e33ab72a436113f136
@mariyadidi,Maldives Defense Minister Mariya Didi,a470,maldives,Maldives,Diplomat,Maldives Defense Minister Mariya Didi,,defmin_mentioner2,6f11079213a5895ee524e8ba3eb1218e,defmin_mentioner2__6f11079213a5895ee524e8ba3eb1218e
luis_c_sandoval,Mexican Defense Secretary Sandoval,a510,mexico,Mexico,Exec,Mexican Defense Secretary Sandoval,,defmin_mentioner2,654be6e10a96be38f800d520f38a8272,defmin_mentioner2__654be6e10a96be38f800d520f38a8272
@minbijleveld,Dutch Defense Minister Bijleveld,a512,netherlands,Netherlands,Keyphrase,Dutch Defense Minister Bijleveld,,defmin_mentioner2,e682432f14903c3947e6153d9b41c458,defmin_mentioner2__e682432f14903c3947e6153d9b41c458
sekerinska,North Macedonian Defense Minister Jankovska,a513,northmacedonia,North Macedonia,CompanyKeyword,North Macedonian Defense Minister Jankovska,,defmin_mentioner2,2416c8df7e3ab8d978527b322fad96ff,defmin_mentioner2__2416c8df7e3ab8d978527b322fad96ff
sotobernardino_,Paraguayan Defense Minister Soto,a516,paraguay,Paraguay,ForeignMinister,Paraguayan Defense Minister Soto,,defmin_mentioner2,6ae868c950ffe41c953f431546552f81,defmin_mentioner2__6ae868c950ffe41c953f431546552f81
mblaszczak,Polish Defense Minister Blaszczak,a475,poland,Poland,ForeignMinistry,Polish Defense Minister Blaszczak,,defmin_mentioner2,8790735630f10c8abf02520c2fcd29d8,defmin_mentioner2__8790735630f10c8abf02520c2fcd29d8
kbmalattiya,Qatari Defense Minister al-Attiyah,a519,qatar,Qatar,AAEntity,Qatari Defense Minister al-Attiyah,,defmin_mentioner2,5a3b03363175c78773b230c22480853c,defmin_mentioner2__5a3b03363175c78773b230c22480853c
nicolaeciuca,Romanian Defense Minister Ciuca,a476,romania,Romania,Wells,Romanian Defense Minister Ciuca,,defmin_mentioner2,2db10753fa853af8910508186e89521b,defmin_mentioner2__2db10753fa853af8910508186e89521b
nesastefanovic,Serbian Defense Minister Stefanovic,a521,serbia,Serbia,Shipping,Serbian Defense Minister Stefanovic,,defmin_mentioner2,4589428830bbeaf66b2068bb24adfb5c,defmin_mentioner2__4589428830bbeaf66b2068bb24adfb5c
matejtonin,Slovenian Defense Minister Tonin,a522,slovenia,Slovenia,DiplomaticFacilities,Slovenian Defense Minister Tonin,,defmin_mentioner2,480387730aa6127331435b721adefd55,defmin_mentioner2__480387730aa6127331435b721adefd55
@violapamherd,Swiss Defense Minister Amherd,a526,switzerland,Switzerland,ForeignMinistry,Swiss Defense Minister Amherd,,defmin_mentioner2,33e6acd3c79a8328f061689ce66dd0da,defmin_mentioner2__33e6acd3c79a8328f061689ce66dd0da
@prayutofficial,Thai Defense Minister General Prawit Wongsuwan,a550,thailand,Thailand,Media,Thai Defense Minister General Prawit Wongsuwan,,defmin_mentioner2,e4699c4bccbf5c7d85fe588720377eba,defmin_mentioner2__e4699c4bccbf5c7d85fe588720377eba
javiergarcia_uy,Uruguayan Defense Minister Garcia,a531,uruguay,Uruguay,space,Uruguayan Defense Minister Garcia,,defmin_mentioner2,a529750ad12b1ffd0bd2ebaddb846f63,defmin_mentioner2__a529750ad12b1ffd0bd2ebaddb846f63
vladimirpadrino,Venezuelan Defense Minister Padrino,a532,venezuela,Venezuela,Refinery,Venezuelan Defense Minister Padrino,,defmin_mentioner2,dd49b8916502e611d7b241f0dc41d121,defmin_mentioner2__dd49b8916502e611d7b241f0dc41d121
generalmgdashi,Yemeni Defense Minister al-Maqdishi,a551,yemen,Yemen,space,Yemeni Defense Minister al-Maqdishi,,defmin_mentioner2,151937200a068293ec28754440b296d4,defmin_mentioner2__151937200a068293ec28754440b296d4
abae_ve,Venezuelan Bolivarian Space Activities Agency,,venezuelanbolivarianspaceactivitiesagency,,Consulates,Venezuelan Bolivarian Space Activities Agency,,defmin_mentioner2,d3793949c837737b713a69495690f546,defmin_mentioner2__d3793949c837737b713a69495690f546
uaespaceagency,UAE Space Agency,a1463,uaesa,,CompanyKeyword,UAE Space Agency,,defmin_mentioner2,6647747435014495aaeb878867c2051e,defmin_mentioner2__6647747435014495aaeb878867c2051e
ioas_lk,"Institute of Astronomy, Sri Lanka",a543,"instituteofastronomy,srilanka",,Keyphrase,"Institute of Astronomy, Sri Lanka",,defmin_mentioner2,7717f5bcab806b61db7261fd14116873,defmin_mentioner2__7717f5bcab806b61db7261fd14116873
accimtsrilanka,Arthur C. Clarke Insitute for Modern Technologies,a543,arthurcclarkeinsituteformoderntechnologies,,FTO,Arthur C. Clarke Insitute for Modern Technologies,,defmin_mentioner2,0179711d66e8ebfc93de201dd0d75fcd,defmin_mentioner2__0179711d66e8ebfc93de201dd0d75fcd
jaza_en,Japan Aerospace Exploration Agency,a1345,japanaerospaceexplorationagency,,Consulates,Japan Aerospace Exploration Agency,,defmin_mentioner2,520400f88d794bf24a99c6939908ab9b,defmin_mentioner2__520400f88d794bf24a99c6939908ab9b
asi_spazio,Italian Space Agency,a1464,italianspaceagency,,Shipping,Italian Space Agency,,defmin_mentioner2,d164b5485d7d576aa3dcf6a343272af2,defmin_mentioner2__d164b5485d7d576aa3dcf6a343272af2
dlr_de,German Aerospace Center,a1452,germanaerospacecenter,,Media,German Aerospace Center,,defmin_mentioner2,586e836c644489d4d6031c1a996ea4bc,defmin_mentioner2__586e836c644489d4d6031c1a996ea4bc
cnes,French Space Studies Center,a697,frenchspacestudiescenter,,Person,French Space Studies Center,,defmin_mentioner2,6cc36c8f8e5cf18a8616ac9363efbce0,defmin_mentioner2__6cc36c8f8e5cf18a8616ac9363efbce0
esa,European Space Agency,a697,europeanspaceagency,,Media,European Space Agency,,defmin_mentioner2,469e4d438ac8d45d83049fe412a0b97d,defmin_mentioner2__469e4d438ac8d45d83049fe412a0b97d
roscosmos,Roscosmos,moscow,roscosmos,,ForeignMinister,Roscosmos,,defmin_mentioner2,d5bea17c8acfaf5459ccddb2c29db812,defmin_mentioner2__d5bea17c8acfaf5459ccddb2c29db812
